-0.05204+0.018337i,0.065348-0.01762i,-0.088997+0.015823i,0.14258-0.011028i,-0.37213-0.01028i,-0.6682-0.081477i,0.2194+0.033332i,-0.574+0.065495i,-0.012351+0.046567i,-0.01755-0.015223i,-0.041508+0.17255i,0.011694-0.084105i,-0.012551+0.076782i
0.028229-0.0019058i,-0.040076-0.0045619i,0.061512+0.01637i,-0.11043-0.04287i,0.31885+0.15059i,0.612+0.30138i,-0.19159-0.064481i,0.20721-0.39933i,-0.080008-0.14469i,0.08404+0.078554i,-0.012199-0.22142i,0.046384+0.12957i,-0.048496-0.12023i
0.0026117-0.024365i,0.006213+0.035044i,-0.022661-0.054079i,0.060585+0.096551i,-0.22024-0.27199i,-0.47339-0.4879i,0.1335+0.12159i,0.27916+0.17326i,0.185+0.1113i,-0.15663-0.056792i,0.071215+0.19683i,-0.10985-0.10547i,0.11553+0.094115i
-0.03016+0.059086i,0.026405-0.072475i,-0.018511+0.095845i,-0.0010731-0.14773i,0.086398+0.36527i,0.28418+0.604i,-0.094767-0.17244i,-0.28771+0.34713i,-0.18001+0.0099903i,0.15982-0.026802i,-0.072183-0.11647i,0.11924+0.027252i,-0.12945-0.012915i
0.041223-0.094649i,-0.043444+0.11003i,0.046003-0.13605i,-0.049046+0.19245i,0.052902-0.42597i,-0.057587-0.61492i,0.067122+0.15955i,-0.16212-0.50759i,0.052342-0.090598i,-0.078336+0.095452i,-0.002282+0.043371i,-0.055033+0.046967i,0.068355-0.066373i
-0.081751+0.077046i,0.093346-0.090056i,-0.11198+0.11198i,0.14971-0.15911i,-0.29311+0.35136i,-0.2964+0.49187i,-0.0081402-0.10874i,0.46731+0.18832i,0.050952+0.034945i,-0.009249-0.062464i,-0.07893-0.084212i,0.057656-0.012834i,-0.067289+0.031364i
0.062212-0.099302i,-0.075741+0.11132i,0.098814-0.1301i,-0.1485+0.16706i,0.34876-0.30403i,0.50974-0.25221i,-0.093-0.035441i,-0.26243+0.41023i,-0.094083-0.015178i,0.061068+0.084552i,0.015201+0.051393i,0.005699+0.055868i,-0.00011793-0.081822i
-0.01666+0.081738i,0.028682-0.089091i,-0.050986+0.099592i,0.10301-0.1179i,-0.32859+0.17587i,-0.69042+0.027043i,0.23858+0.103i,-0.35789-0.5222i,0.087654+0.026485i,-0.099388-0.097011i,0.047988-0.043109i,-0.076075-0.064233i,0.080389+0.089253i
-0.020148-0.022922i,0.010271+0.022204i,0.0095303-0.019938i,-0.058623+0.012973i,0.28169+0.022083i,0.75471+0.14492i,-0.31592-0.071734i,0.68614+0.042748i,-0.094698-0.076772i,0.13112+0.10045i,-0.098375+0.060951i,0.12991+0.035133i,-0.14119-0.049959i
0.02382-0.048103i,-0.014877+0.057123i,-0.0030064-0.072177i,0.046975+0.10378i,-0.24399-0.22733i,-0.65732-0.28696i,0.26017+0.021466i,-0.34887+0.42738i,0.13917+0.099386i,-0.15039-0.077497i,0.11929-0.10559i,-0.14371+0.022545i,0.15334-0.020078i
0.0003814+0.09487i,-0.008693-0.10903i,0.024052+0.13224i,-0.059225-0.18051i,0.2066+0.37005i,0.43243+0.43254i,-0.11932-0.039306i,-0.24857-0.31406i,-0.15962-0.046532i,0.12781+0.027417i,-0.090843+0.16095i,0.10206-0.082363i,-0.10392+0.086089i
