0.0052151-0.0049831i,-0.0020334+0.0040546i,-0.0037923-0.0023245i,0.016151-0.0012806i,-0.05295+0.011427i,0.78932-0.1962i,0.12799-0.026894i,-0.070935-0.0017758i,-0.10709+0.35375i,-0.10518+0.088286i,0.122-0.082824i,0.17871-0.12076i,0.017578-0.00088926i
-0.0022971-0.009567i,-0.0011882+0.011549i,0.007338-0.014661i,-0.019927+0.020467i,0.056086-0.036184i,-0.75534+0.33621i,-0.10891+0.037352i,0.043605-0.019712i,0.33645+0.13176i,0.12522+0.032529i,-0.12185-0.053148i,-0.13867-0.19797i,-0.018859+0.025384i
0.0056413+0.01104i,-0.0030441-0.014229i,-0.0016996+0.019372i,0.011653-0.029173i,-0.04068+0.056007i,0.60485-0.56671i,0.091779-0.066704i,-0.035845+0.029618i,-0.35882-0.045488i,-0.12926-0.0060762i,0.13+0.031939i,0.15822+0.17969i,0.025504-0.022232i
-0.010304-0.010219i,0.009001+0.014146i,-0.006317-0.020621i,0.00023204+0.033188i,0.018359-0.068036i,-0.38637+0.73402i,-0.067527+0.091172i,0.026612-0.039074i,0.35861-0.040985i,0.12888-0.024223i,-0.13605-0.0045246i,-0.17283-0.16729i,-0.038247+0.034382i
0.014347+0.006604i,-0.014464-0.010693i,0.014106+0.017624i,-0.012506-0.031394i,0.0062911+0.070252i,0.12595-0.81934i,0.035935-0.10888i,-0.013598+0.047706i,-0.33959+0.12219i,-0.11924+0.057341i,0.13325-0.028666i,0.19195+0.1615i,0.040683-0.063116i
-0.0030896-0.00074632i,0.0061271+0.0037612i,-0.011324-0.0088557i,0.02171+0.018852i,-0.051034-0.046418i,0.61244+0.56196i,0.0806+0.071804i,-0.027581-0.021604i,-0.28533-0.23538i,-0.095201-0.054205i,0.093816+0.0049321i,0.13184-0.27604i,0.009818+0.076732i
0.0040455-0.0020351i,-0.0079174+0.0002949i,0.014498+0.0027002i,-0.02756-0.0086399i,0.064202+0.025062i,-0.76229-0.3307i,-0.099001-0.044185i,0.033361+0.012965i,0.33251+0.15969i,0.10625+0.032592i,-0.095546+0.011343i,-0.096106+0.29028i,-0.013031-0.080631i
-0.0024925+0.0055358i,0.006614-0.0053008i,-0.013677+0.004772i,0.027788-0.0035715i,-0.067546+9.8736e-05i,0.82669+0.062632i,0.1101+0.012839i,-0.038743-0.0036172i,-0.35725-0.074234i,-0.11601-0.0098511i,0.099342-0.026699i,0.051395-0.30191i,0.030774+0.08853i
-0.0016051-0.0075883i,-0.002154+0.0087787i,0.008748-0.010645i,-0.02217+0.014153i,0.060514-0.0238i,-0.79851+0.21048i,-0.11283+0.022008i,0.043197-0.0088891i,0.35832-0.012041i,0.12371-0.017881i,-0.10459+0.047192i,0.00098266+0.30131i,-0.062131-0.084297i
0.0066307+0.0066131i,-0.0036951-0.0088951i,-0.0016607+0.012711i,0.012889-0.020256i,-0.045633+0.04162i,0.6828-0.4571i,0.10459-0.058832i,-0.04351+0.025566i,-0.33922+0.091649i,-0.12448+0.052322i,0.10515-0.076159i,-0.051806-0.28272i,0.093279+0.057864i
-0.010271-0.0026653i,0.0083807+0.0056018i,-0.0047223-0.010732i,-0.003254+0.021231i,0.027071-0.051683i,-0.49491+0.65071i,-0.083004+0.093444i,0.035896-0.044134i,0.30569-0.16114i,0.11246-0.090306i,-0.093346+0.11065i,0.089485+0.24918i,-0.10638-0.013171i
0.010937-0.0025708i,-0.01011-0.00063297i,0.0083191+0.0064414i,-0.0041774-0.018668i,-0.0084997+0.054811i,0.25699-0.7726i,0.048338-0.11955i,-0.018877+0.059415i,-0.26223+0.22102i,-0.085052+0.12432i,0.06535-0.14207i,-0.10754-0.21169i,0.091521-0.033201i
-0.0087164+0.0068338i,0.0088835-0.0036328i,-0.0089613-0.002319i,0.0088636+0.015066i,-0.0083906-0.053146i,0.0056648+0.8124i,-0.0048253+0.13108i,-0.0050055-0.06585i,0.2099-0.27309i,0.045367-0.14612i,-0.02443+0.16073i,0.10906+0.18298i,-0.053756+0.0619i
0.0052326-0.0086908i,-0.006343+0.0056867i,0.0082381-5.2966e-05i,-0.012136-0.012061i,0.023833+0.048249i,-0.26703-0.76738i,-0.040129-0.12501i,0.029882+0.060561i,-0.14687+0.3172i,-0.0013186+0.15106i,-0.020257-0.16133i,-0.10504-0.16999i,0.010498-0.062722i
-0.002521+0.0083703i,0.0045605-0.0057809i,-0.0081886+0.00094377i,0.015798+0.0093915i,-0.038558-0.039991i,0.5016+0.64165i,0.078553+0.10282i,-0.049301-0.045003i,0.071353-0.34947i,-0.038258-0.14048i,0.05853+0.14589i,0.10779+0.16996i,0.019066+0.040734i
0.001668-0.0074842i,-0.0045791+0.0056168i,0.0097369-0.0021263i,-0.020457-0.0052903i,0.052083+0.026988i,-0.68528-0.44625i,-0.10485-0.069785i,0.059327+0.024147i,0.015134+0.3634i,0.067937+0.12049i,-0.084616-0.12219i,-0.1235-0.17262i,-0.025598-0.012576i
-0.002117+0.0078393i,0.0056838-0.0070573i,-0.011929+0.0054741i,0.024737-0.0019861i,-0.061977-0.0082317i,0.79718+0.19958i,0.11737+0.032503i,-0.060089-0.0037243i,-0.10638-0.35322i,-0.08777-0.098065i,0.099656+0.09874i,0.149+0.16712i,0.014662-0.004555i
0.0020895-0.010136i,-0.0058806+0.010728i,0.012485-0.011457i,-0.025936+0.012543i,0.064697-0.015214i,-0.82244+0.072773i,-0.11784+0.0038283i,0.05487-0.012698i,0.19294+0.31716i,0.10185+0.077015i,-0.10974-0.079689i,-0.1746-0.14899i,-0.001962+0.0039449i
