0.025967+0.017428i,-0.031045-0.022253i,0.038774+0.029499i,-0.051985-0.041586i,0.079787+0.066069i,-0.17695-0.14709i,-0.67051-0.51845i,0.10834+0.056402i,-0.04781+0.054131i,0.078056+0.31951i,-0.042206-0.1048i,0.03345+0.072983i,-0.11196+0.17063i
-0.027671-0.016991i,0.033083+0.02173i,-0.041249-0.028865i,0.055051+0.040805i,-0.083692-0.065087i,0.1821+0.14587i,0.66219+0.52135i,-0.095462-0.060017i,0.015233-0.045106i,-0.15523-0.2978i,0.060753+0.099285i,-0.043901-0.069214i,0.27572+0.0088517i
0.028839+0.015712i,-0.034534-0.020273i,0.04307+0.027178i,-0.057376-0.038808i,0.086735+0.062656i,-0.1862-0.14283i,-0.65523-0.5267i,0.084604+0.067468i,0.012854+0.026818i,0.22351+0.25501i,-0.077764-0.088806i,0.054303+0.062496i,-0.20634-0.23137i
-0.029573-0.013633i,0.035478+0.017933i,-0.044291-0.024499i,0.058975+0.035674i,-0.088871-0.058882i,0.18913+0.13813i,0.64993+0.53425i,-0.076432-0.078312i,-0.034335-0.00058493i,-0.27682-0.19509i,0.091465+0.074711i,-0.063285-0.054331i,-0.02179+0.27537i
0.029974+0.011117i,-0.036005-0.015096i,0.044986+0.021245i,-0.059897-0.031859i,0.090115+0.054277i,-0.19082-0.13237i,-0.64644-0.54326i,0.071355+0.09147i,0.047712-0.031213i,0.31027+0.12294i,-0.10014-0.058082i,0.069045+0.045402i,0.18007-0.092564i
-0.01632-0.016341i,0.018619+0.021084i,-0.022054-0.028654i,0.027794+0.042279i,-0.039538-0.072639i,0.079104+0.18543i,0.25269+0.8526i,-0.02567-0.18947i,-0.02027+0.19181i,-0.119+0.19535i,0.038696-0.014112i,-0.028035-0.0032345i,0.21057+0.16549i
0.013614+0.014426i,-0.015546-0.019056i,0.018503+0.026487i,-0.023596-0.039936i,0.034405+0.070062i,-0.072456-0.18254i,-0.26046-0.8565i,0.039447+0.19438i,-0.013552-0.20152i,0.042111-0.21223i,-0.021067+0.016808i,0.018747+0.0023043i,0.021934-0.24605i
-0.010943-0.013653i,0.012506+0.018274i,-0.014982-0.0257i,0.019419+0.039153i,-0.029281-0.0693i,0.06579+0.18185i,0.2683+0.85752i,-0.05341-0.1949i,0.048072+0.20094i,0.037087+0.20629i,0.0026679-0.014112i,-0.0087824-0.0049723i,-0.21358+0.095147i
0.0082705+0.014053i,-0.0094923-0.018775i,0.011522+0.026336i,-0.015353-0.039979i,0.024334+0.07041i,-0.059403-0.18344i,-0.27568-0.85556i,0.066581+0.19093i,-0.080548-0.19005i,-0.11175-0.17816i,0.01493+0.006495i,-0.0013754+0.010445i,0.18309+0.13767i
-0.0056152-0.015374i,0.0065457+0.0203i,-0.0081964-0.028131i,0.011511+0.042142i,-0.019741-0.073108i,0.05357+0.187i,0.28217+0.85099i,-0.078098-0.18296i,0.10851+0.16985i,0.17526+0.13019i,-0.029898+0.0052527i,0.010437-0.017626i,0.033656-0.22098i
0.0031642+0.017213i,-0.0038689-0.022428i,0.0052271+0.030636i,-0.0081449-0.045161i,0.0158+0.076865i,-0.048662-0.19192i,-0.28724-0.84451i,0.087132+0.17197i,-0.12978-0.14237i,-0.22195-0.066199i,0.040519-0.020354i,-0.016713+0.02595i,-0.21941+0.068352i
-0.0012578-0.01921i,0.0018162+0.024765i,-0.0029873-0.033417i,0.0056534+0.048545i,-0.012943-0.081115i,0.04517+0.19753i,0.29031+0.83701i,-0.09285-0.1592i,0.14255+0.11026i,0.24782-0.0088268i,-0.045715+0.038056i,0.019097-0.035555i,0.18884+0.17674i
0.00023489+0.021194i,-0.00074189-0.027102i,0.0018495+0.036216i,-0.0044323-0.051973i,0.011599+0.085451i,-0.043569-0.2033i,-0.29083-0.82923i,0.09454+0.14588i,-0.1455-0.076462i,-0.25092+0.08881i,0.045309-0.057312i,-0.017713+0.046583i,0.029596-0.2811i
-0.00023551-0.023163i,0.00079704+0.029406i,-0.0019783-0.038958i,0.0046626+0.055316i,-0.011969-0.089659i,0.044085+0.20888i,0.28852+0.82172i,-0.091875-0.13302i,0.13816+0.043722i,0.23129-0.16691i,-0.03979+0.076497i,0.013595-0.058312i,-0.22142+0.14977i
