-0.013662-0.038611i,0.0087819+0.047092i,0.0085149-0.066175i,-0.541+0.46917i,-0.089906-0.014553i,0.074487+0.049019i,-0.10478-0.10851i,0.013901+0.017184i,-0.059266-0.10895i,0.17326+0.44716i,0.066268+0.26738i,-0.010459-0.085613i,-0.033166-0.21409i
-0.007229-0.030389i,0.00089161+0.030619i,0.020289-0.026732i,-0.65521-0.16232i,-0.09578-0.068036i,0.077475+0.064786i,-0.12137-0.060372i,-0.024394+0.12437i,-0.023526-0.16649i,0.053557+0.50913i,-0.017774+0.25076i,0.0366-0.067656i,-0.12522-0.21379i
0.048154-0.014981i,-0.053244+0.022653i,0.061121-0.045873i,-0.1424+0.70643i,0.064201+0.071496i,-0.081747-0.050163i,0.11869+0.08988i,-0.085816+0.051736i,0.16336-0.007874i,-0.51661-0.019526i,-0.23622-0.018273i,0.050953-0.0014097i,-0.074945+0.24854i
0.011838+0.0099137i,-0.0051325-0.011542i,-0.017186+0.014535i,0.67941-0.062217i,0.10229+0.010196i,-0.080965-0.013282i,0.11772-0.0025854i,0.017657-0.092829i,0.014822+0.1202i,0.031682-0.45081i,0.1055-0.30936i,-0.08955+0.1487i,0.30057-0.26768i
-0.0040869+0.017059i,0.0044742-0.024582i,-0.0017685+0.047247i,-0.15875-0.69124i,-0.041835-0.067154i,0.047545+0.046121i,-0.08899-0.081122i,0.019083-0.038627i,-0.10044-0.0095803i,0.43923+0.10905i,0.28599+0.10328i,-0.10178-0.056763i,-0.20429+0.04304i
0.029505+0.0068142i,-0.038142-0.003493i,0.061405-0.006595i,-0.66775+0.28553i,-0.03951+0.041203i,0.01435-0.031159i,-0.037455+0.056342i,-0.085279+0.066551i,0.077518-0.080165i,-0.20799+0.38548i,-0.080831+0.33052i,0.0019223-0.18473i,0.22346+0.3216i
-0.0092423+0.006139i,0.012072-0.001081i,-0.023302-0.016563i,0.40279+0.55839i,0.052669+0.083807i,-0.04854-0.068512i,0.094061+0.099753i,0.006811-0.011999i,0.075347+0.065141i,-0.38276-0.23542i,-0.28153-0.13631i,0.12593+0.060302i,-0.15233-0.29174i
-0.053775+0.025518i,0.06247-0.032739i,-0.08279+0.051565i,0.55329-0.52878i,-0.011316-0.026359i,0.035332+0.0064677i,-0.024798-0.034597i,0.12503-0.11459i,-0.13922+0.1214i,0.3422-0.39559i,0.092144-0.22655i,0.024393+0.077738i,-0.15659+0.1907i
-0.010652+0.0032255i,0.006704-0.0064843i,0.0096253+0.018207i,-0.55641-0.38877i,-0.097337-0.052179i,0.087393+0.043416i,-0.1376-0.067641i,0.015335+0.015424i,-0.097849-0.069024i,0.36318+0.30082i,0.20016+0.20906i,-0.069649-0.090697i,0.24652-0.066784i
0.025232-0.04528i,-0.030497+0.05484i,0.042607-0.079236i,-0.31306+0.69174i,0.0036041+0.020581i,-0.019416+0.0050552i,0.016881+0.026524i,-0.08296+0.13778i,0.11168-0.13445i,-0.36841+0.35878i,-0.20093+0.14702i,0.071608-0.026388i,-0.28582-0.021767i
