0.010961+0.02633i,-0.013396-0.022501i,0.01787+0.011861i,-0.028957+0.025903i,0.14116-0.56929i,0.0073129-0.27434i,0.053506+0.28594i,0.21159+0.18027i,-0.087567+0.080927i,0.12566-0.22691i,0.18407-0.37965i,-0.025392+0.040733i,-0.003304+0.025991i
0.027738-0.011061i,-0.030483+0.018861i,0.033873-0.034555i,-0.03758+0.07925i,0.019195-0.64058i,-0.078777-0.20539i,0.13751+0.19475i,0.15676+0.27222i,0.025265-0.081285i,-0.13814+0.14862i,-0.34281+0.34617i,0.080225-0.090999i,-0.03635+0.047296i
-0.0087943+0.0077298i,0.011376-0.0023726i,-0.016085-0.010024i,0.028703+0.049485i,-0.18819-0.58345i,-0.05998-0.23431i,0.090633+0.23212i,0.27415+0.18543i,-0.12963+0.029317i,0.22565-0.10945i,0.40136-0.18196i,-0.073138+0.015955i,0.016276+0.019558i
0.02612-0.011445i,-0.025756+0.017875i,0.022435-0.030976i,-0.0060569+0.068892i,-0.26948-0.55241i,-0.17537-0.17939i,0.21199+0.17244i,0.16339+0.21989i,0.06257-0.043087i,-0.21532+0.040512i,-0.46091+0.043922i,0.093396+0.0026659i,-0.031438-0.021843i
-0.011787-0.0080823i,0.017546+0.013254i,-0.028798-0.023913i,0.060181+0.055091i,-0.45203-0.45628i,-0.14133-0.15282i,0.14983+0.15148i,0.29372+0.20066i,-0.11946-0.042861i,0.22179+0.051529i,0.46065+0.10191i,-0.10674-0.029107i,0.048452+0.025726i
0.027264+0.00028155i,-0.024441+0.0024573i,0.015884-0.0088873i,0.015861+0.029895i,-0.48419-0.32316i,-0.24778-0.13193i,0.26689+0.14452i,0.17898+0.15353i,0.072751+0.0080508i,-0.21241-0.089559i,-0.36399-0.26784i,0.041505+0.083124i,0.022116-0.068594i
-0.0034493-0.0091908i,0.010206+0.011941i,-0.024289-0.017116i,0.06566+0.031175i,-0.59802-0.20566i,-0.21022-0.060358i,0.21114+0.073774i,0.28668+0.19447i,-0.07449-0.092701i,0.12935+0.17561i,0.32086+0.36391i,-0.092474-0.090238i,0.054144+0.059797i
-0.036955+0.058027i,0.038207-0.069794i,-0.037652+0.090523i,0.02788-0.14105i,0.17852+0.67483i,0.16989+0.07253i,-0.22678+0.066942i,-0.20471+0.19894i,-0.047987-0.012835i,0.18311-0.090978i,0.35692-0.31007i,-0.053789+0.090164i,-0.0030534-0.066499i
-0.0013462+0.045893i,-0.0028462-0.055549i,0.01157+0.072894i,-0.037227-0.11607i,0.37037+0.58008i,0.1397+0.070713i,-0.15752+0.059269i,-0.27676+0.26088i,0.1009-0.083016i,-0.19702+0.089507i,-0.47332+0.13641i,0.13437-0.042262i,-0.089056+0.04904i
-0.022135+0.03639i,0.019596-0.044336i,-0.011864+0.058611i,-0.016924-0.093833i,0.44224+0.4641i,0.22211+0.047781i,-0.23603+0.075021i,-0.13957+0.2843i,-0.081869-0.084149i,0.23466+0.059265i,0.44586-0.031906i,-0.075118+0.041459i,0.013372-0.055874i
0.018874+0.04335i,-0.026702-0.050769i,0.04189+0.063118i,-0.083622-0.090769i,0.59189+0.34898i,0.16685-0.0098755i,-0.14522+0.12627i,-0.2276+0.26358i,0.092021-0.033402i,-0.19404-0.044958i,-0.45984-0.18237i,0.12376+0.043363i,-0.077408-0.0085076i
0.0042772+0.016186i,-0.010369-0.019267i,0.023832+0.024816i,-0.065277-0.038059i,0.61241+0.1625i,0.21808-0.006779i,-0.19669+0.099034i,-0.11366+0.34318i,-0.055921-0.13582i,0.16946+0.1887i,0.35951+0.2605i,-0.07933-0.028051i,0.040021-0.019332i
0.03074+0.044699i,-0.039846-0.0492i,0.057241+0.054998i,-0.10436-0.06249i,0.66998+0.058518i,0.16839-0.11294i,-0.12564+0.20467i,-0.16353+0.24393i,0.059505+0.027074i,-0.11638-0.17185i,-0.24437-0.4027i,0.054363+0.08066i,-0.024635-0.018913i
0.025717+0.0076285i,-0.033679-0.0064028i,0.04941+0.0035529i,-0.093486+0.0060729i,0.63673-0.15267i,0.17291-0.088899i,-0.13095+0.14744i,-0.1027+0.358i,-0.0021764-0.1409i,0.035933+0.23532i,0.11239+0.45065i,-0.039287-0.098284i,0.03562+0.038954i
0.023314+0.044554i,-0.03064-0.045771i,0.045061+0.044554i,-0.085242-0.031387i,0.57706-0.23191i,0.15372-0.20772i,-0.11075+0.26996i,-0.075481+0.22586i,-0.0041475+0.066743i,0.024195-0.23133i,0.057668-0.43725i,-0.016507+0.061672i,0.011786+0.012269i
0.031268+0.0044806i,-0.038561-7.4277e-05i,0.052095-0.009376i,-0.087629+0.038006i,0.5016-0.41953i,0.1054-0.1697i,-0.060883+0.20009i,-0.082932+0.34421i,0.044845-0.11193i,-0.098774+0.19533i,-0.20077+0.43881i,0.039753-0.11681i,-0.011533+0.065912i
0.0027466+0.031606i,-0.0060489-0.029227i,0.013508+0.021341i,-0.036693+0.0091663i,0.34135-0.47082i,0.11745-0.25688i,-0.09075+0.29123i,0.018623+0.23935i,-0.073113+0.051525i,0.16661-0.17893i,0.3197-0.29362i,-0.061255+0.021388i,0.018596+0.037967i
