-0.0038898+0.023432i,1.2687e-05-0.023867i,0.0075374+0.023269i,-0.02529-0.019207i,0.091581-0.0034808i,0.83451-0.37992i,-0.16972+0.12164i,0.21387-0.1863i,0.12419-0.096229i,-0.020893-0.011431i,0.089172+0.022018i,0.1085-0.069291i,-0.076966+0.080107i
-0.0007594-0.02728i,0.0049224+0.027684i,-0.012732-0.026845i,0.030553+0.021896i,-0.095597+0.0049603i,-0.80022+0.44382i,0.15406-0.14029i,-0.18875+0.21236i,-0.11441+0.10663i,0.025626+0.014552i,-0.097569-0.026469i,-0.096423+0.078835i,0.061449-0.090569i
0.0070035+0.030752i,-0.01152-0.031083i,0.019651+0.029955i,-0.03757-0.024077i,0.10119-0.0069071i,0.75966-0.50484i,-0.13508+0.15734i,0.15925-0.23555i,0.10512-0.11559i,-0.032548-0.017233i,0.10863+0.029906i,0.081226-0.086835i,-0.042413+0.098841i
-0.015014-0.033103i,0.019955+0.03328i,-0.028473-0.031776i,0.046521+0.024883i,-0.10853+0.010217i,-0.71283+0.56173i,0.11269-0.17168i,-0.12542+0.25455i,-0.096823+0.12405i,0.041923+0.018264i,-0.12254-0.030981i,-0.062774+0.091802i,0.01981-0.10327i
0.024601+0.033469i,-0.030022-0.033372i,0.038973+0.03136i,-0.057162-0.023323i,0.11738-0.01592i,0.66021-0.61308i,-0.087308+0.18201i,0.087875-0.26792i,0.089449-0.13315i,-0.053399-0.016258i,0.13885+0.028166i,0.041672-0.092062i,0.0055888+0.10202i
-0.035169-0.031047i,0.041089+0.030518i,-0.050481-0.027827i,0.068781+0.018475i,-0.12697+0.02497i,-0.60284+0.65759i,0.059916-0.18719i,-0.04786+0.27437i,-0.082322+0.14398i,0.06594+0.009941i,-0.15632-0.020075i,-0.019336+0.086114i,-0.032118-0.093479i
0.045755+0.025267i,-0.052143-0.024125i,0.061926+0.02056i,-0.080239-0.0096969i,0.1361-0.038021i,0.54226-0.69429i,-0.03201+0.1864i,0.0071566-0.27299i,0.074202-0.15726i,-0.077899+0.0015366i,0.17307+0.0057966i,-0.0020954-0.072997i,0.057324+0.076638i
-0.055142-0.01595i,0.061902+0.014012i,-0.071954-0.0093743i,0.090106-0.0031959i,-0.14327+0.055245i,-0.48033+0.72277i,0.0054377-0.17938i,0.032072+0.2635i,-0.063473+0.1731i,0.08721-0.018338i,-0.18678+0.014816i,0.020006+0.052598i,-0.078239-0.05146i
0.062029+0.0034055i,-0.068997-0.00050698i,0.079121-0.0053757i,-0.096856+0.019816i,0.14687-0.076204i,0.41905-0.74325i,0.017846+0.16658i,-0.067548-0.24641i,0.048409-0.1909i,-0.091699+0.039775i,0.19501-0.040972i,-0.031667-0.02585i,0.091794+0.01907i
-0.065234+0.01155i,0.072185-0.015524i,-0.082119+0.02277i,0.099108-0.039181i,-0.14544+0.099834i,-0.36027+0.75666i,-0.036064-0.1492i,0.097188+0.22301i,-0.027507+0.20923i,0.089436-0.06428i,-0.19558+0.07091i,0.034672-0.0052447i,-0.095301+0.018205i
0.063893-0.027651i,-0.070562+0.032746i,0.079997-0.041396i,-0.095861+0.059786i,0.13795-0.12452i,0.30539-0.76454i,0.047903+0.12904i,-0.11942-0.19531i,-0.00019784-0.22603i,-0.079086+0.089522i,0.187-0.10203i,-0.027363+0.037761i,0.086927-0.057016i
-0.057634+0.043331i,0.063737-0.049507i,-0.072344+0.059504i,0.086688-0.079773i,-0.12395+0.14826i,-0.25521+0.76885i,-0.052746-0.10835i,0.13341+0.16581i,0.034866+0.2388i,0.060203-0.11267i,-0.16875+0.13119i,0.0091733-0.068167i,-0.066076+0.093348i
0.046669-0.056916i,-0.051936+0.064044i,0.059406-0.075232i,-0.071854+0.097165i,0.10376-0.16895i,0.20973-0.77171i,0.050816+0.089537i,-0.13926-0.13717i,-0.075701-0.2449i,-0.033399+0.13074i,0.14148-0.15507i,0.019166+0.092764i,0.033616-0.12301i
-0.031817+0.06686i,0.036024-0.074728i,-0.042096+0.086858i,0.052334-0.11013i,-0.078434+0.18462i,-0.16817+0.77506i,-0.043197-0.074822i,0.138+0.1119i,0.12093+0.24201i,0.00036097-0.14103i,-0.10702+0.17066i,-0.055603-0.10819i,0.0081014+0.14221i
0.014424-0.071969i,-0.017421+0.080301i,0.021918-0.093052i,-0.029724+0.11727i,0.049684-0.19378i,0.12903-0.78043i,0.031727+0.065935i,-0.13148-0.091971i,-0.16793-0.2284i,0.036284+0.14148i,0.068222-0.17568i,0.096943+0.11189i,-0.055441-0.14806i
0.0074293-0.020885i,-0.0037019+0.021939i,-0.0038293-0.022649i,0.022035+0.021815i,-0.091379-0.011456i,-0.88834+0.22255i,0.18736-0.088839i,-0.2387+0.15034i,-0.12996+0.089545i,0.013797+0.0055197i,-0.079137-0.028861i,-0.12472+0.038818i,0.097411-0.053602i
-0.0038238+0.023616i,-0.00017118-0.024615i,0.0079811+0.025051i,-0.026395-0.023265i,0.095248+0.0084756i,0.86642-0.28919i,-0.17555+0.10743i,0.2183-0.17731i,0.11995-0.10296i,-0.016458-0.0072504i,0.08515+0.032394i,0.11619-0.047986i,-0.085994+0.064382i
-0.00020269-0.026484i,0.0044847+0.027411i,-0.012583-0.027552i,0.031175+0.024792i,-0.099277-0.005596i,-0.83938+0.35443i,0.16186-0.12535i,-0.19488+0.2025i,-0.10849+0.11428i,0.01946+0.0094642i,-0.091928-0.035972i,-0.10649+0.056834i,0.073042-0.074384i
0.0051476+0.029381i,-0.0097553-0.030211i,0.018172+0.030027i,-0.036935-0.026266i,0.10405+0.0026975i,0.80671-0.41778i,-0.1457+0.14232i,0.16799-0.22548i,0.096556-0.12344i,-0.02364-0.01201i,0.1003+0.039378i,0.094789-0.065081i,-0.057717+0.083252i
-0.011426-0.031887i,0.016413+0.032573i,-0.025194-0.032013i,0.044136+0.0272i,-0.11005+0.00071789i,-0.76808+0.47839i,0.12664-0.15767i,-0.1373+0.24542i,-0.085055+0.13088i,0.029696+0.014212i,-0.11095-0.041833i,-0.080422+0.071849i,0.039393-0.089991i
