0.029974+0.04103i,-0.036743-0.050171i,0.047466+0.064661i,-0.066952-0.091034i,0.11295+0.15348i,-0.34833-0.47442i,-0.3415-0.46915i,0.11901+0.16723i,-0.075163-0.11165i,0.058343+0.099805i,-0.054138-0.1416i,0.016235-0.3795i,-0.045099+0.063869i
0.012054-0.050371i,-0.01457+0.06148i,0.018549-0.079074i,-0.02578+0.11106i,0.042895-0.1867i,-0.13093+0.57481i,-0.12825+0.56501i,0.045707-0.19935i,-0.031265+0.13053i,0.030415-0.11198i,-0.053375+0.1444i,-0.2134+0.30597i,0.059322-0.029356i
-0.046466+0.024375i,0.056514-0.029716i,-0.072422+0.038184i,0.10134-0.053608i,-0.1697+0.090157i,0.52045-0.27808i,0.50969-0.27449i,-0.17932+0.097609i,0.1174-0.064751i,-0.10166+0.056581i,0.13669-0.073839i,0.33961-0.14353i,-0.055975+0.0016763i
0.04899+0.018753i,-0.059551-0.022888i,0.076304+0.029418i,-0.10682-0.041241i,0.17914+0.069036i,-0.55093-0.21074i,-0.54215-0.20378i,0.19223+0.069711i,-0.12734-0.043052i,0.11196+0.033019i,-0.15206-0.034513i,-0.36223-0.059096i,0.046704+0.016366i
-0.017667-0.048639i,0.021345+0.059329i,-0.027243-0.076278i,0.038133+0.10711i,-0.064325-0.18i,0.20092+0.5537i,0.20388+0.54296i,-0.07633-0.19046i,0.05532+0.12306i,-0.055923-0.10259i,0.092483+0.1249i,0.27489+0.24462i,-0.036711-0.030329i
-0.025579+0.043915i,0.031396-0.053618i,-0.040521+0.069094i,0.056908-0.097435i,-0.095086+0.16491i,0.28799-0.51304i,0.27342-0.51206i,-0.089981+0.18466i,0.051007-0.12467i,-0.031079+0.11163i,0.0092077-0.15302i,-0.099189-0.35779i,0.022369+0.0441i
0.048974-0.029112i,-0.059781+0.034934i,0.076713-0.043919i,-0.1071+0.059775i,0.1779-0.096059i,-0.53582+0.2764i,-0.50631+0.24375i,0.16608-0.070878i,-0.09398+0.03038i,0.056742-0.002261i,-0.010587-0.054902i,0.27581-0.37215i,-0.10061+0.094159i
-0.053884-0.016972i,0.065314+0.021127i,-0.083134-0.027785i,0.11495+0.040031i,-0.18866-0.069286i,0.55943+0.2206i,0.51705+0.22539i,-0.16372-0.083118i,0.086453+0.057153i,-0.042035-0.051486i,-0.027154+0.068376i,-0.43435+0.13499i,0.133-0.006198i
0.022945+0.050827i,-0.02734-0.061984i,0.034046+0.079562i,-0.045728-0.1113i,0.07208+0.18573i,-0.20122-0.56429i,-0.16826-0.54148i,0.043586+0.18262i,-0.012027-0.10921i,-0.013928+0.076021i,0.076434-0.049089i,0.42146+0.14278i,-0.1017-0.078094i
0.022316-0.049975i,-0.027738+0.060452i,0.03646-0.076848i,-0.052567+0.10624i,0.091211-0.17464i,-0.29186+0.52004i,-0.30079+0.48483i,0.11251-0.15617i,-0.079188+0.085596i,0.074238-0.047056i,-0.1064-0.0084268i,-0.25284-0.35284i,0.027407+0.11976i
-0.051022+0.015832i,0.062317-0.018524i,-0.080203+0.02259i,0.11269-0.029585i,-0.18931+0.045133i,0.58115-0.12009i,0.56674-0.092127i,-0.19624+0.018947i,0.12297+0.0017308i,-0.094667-0.022571i,0.088518+0.081868i,0.0028597+0.42255i,0.050709-0.10508i
0.044102+0.027566i,-0.053364-0.034329i,0.067945+0.045161i,-0.094257-0.065081i,0.1559+0.11269i,-0.46905-0.35919i,-0.44486-0.36803i,0.1476+0.13665i,-0.085675-0.095478i,0.055028+0.089347i,-0.018981-0.13058i,0.2318-0.33934i,-0.097556+0.049373i
-0.007159-0.050274i,0.0079852+0.061631i,-0.0091989-0.079652i,0.011209+0.11246i,-0.015443-0.19004i,0.03449+0.58784i,0.016722+0.5794i,0.0029793-0.20395i,-0.011434+0.13154i,0.024822-0.1076i,-0.073101+0.12021i,-0.37199+0.14664i,0.09944+0.015672i
-0.033672+0.03703i,0.041784-0.044995i,-0.054684+0.057593i,0.078234-0.080447i,-0.13414+0.13429i,0.42202-0.40929i,0.42515-0.39566i,-0.15453+0.13534i,0.10529-0.083071i,-0.096105+0.060935i,0.1392-0.046774i,0.3813+0.081291i,-0.066692-0.061634i
0.049921+0.0024128i,-0.061269-0.0034182i,0.07925+0.0050238i,-0.11195-0.0079767i,0.18924+0.015074i,-0.58559-0.052249i,-0.57786-0.058586i,0.20419+0.024397i,-0.1332-0.020237i,0.11261+0.025004i,-0.13966-0.056568i,-0.2698-0.26998i,0.022224+0.077245i
-0.030448-0.040246i,0.0371+0.049538i,-0.047634-0.064245i,0.066777+0.09096i,-0.112-0.15408i,0.34377+0.47776i,0.33621+0.4728i,-0.11751-0.16803i,0.075403+0.11122i,-0.0616-0.097838i,0.069064+0.13609i,0.081097+0.36703i,0.014541-0.069031i
-0.01097+0.04997i,0.013662-0.0611i,-0.017913+0.078706i,0.025608-0.11068i,-0.043714+0.18622i,0.13618-0.57345i,0.13476-0.56344i,-0.04757+0.19862i,0.031012-0.13i,-0.026796+0.11203i,0.038101-0.14825i,0.12611-0.35091i,-0.037228+0.050833i
0.045298-0.024782i,-0.055475+0.030017i,0.071573-0.038306i,-0.10079+0.053395i,0.16974-0.089158i,-0.52276+0.27322i,-0.51284+0.26848i,0.17994-0.095543i,-0.11656+0.064212i,0.098436-0.058528i,-0.12604+0.085631i,-0.29349+0.22996i,0.05038-0.031571i
-0.048454-0.017716i,0.059032+0.022013i,-0.075792-0.028797i,0.10628+0.041058i,-0.17842-0.069796i,0.54884+0.21574i,0.5395+0.21005i,-0.19074-0.071519i,0.12572+0.042778i,-0.10988-0.029303i,0.14951+0.018396i,0.37372-0.037729i,-0.059494+0.010613i
0.018098+0.047721i,-0.021682-0.058541i,0.027418+0.075675i,-0.037992-0.10679i,0.063404+0.18019i,-0.19596-0.55567i,-0.19713-0.54476i,0.073539+0.1901i,-0.053723-0.12105i,0.055979+0.097501i,-0.099262-0.10929i,-0.33945-0.17243i,0.062563+0.016683i
0.024604-0.04394i,-0.030568+0.053686i,0.039925-0.069196i,-0.056713+0.097529i,0.09576-0.16481i,-0.29261+0.51115i,-0.27938+0.50747i,0.091797-0.18145i,-0.050932+0.12093i,0.027863-0.10632i,0.0055974+0.14283i,0.1928+0.33623i,-0.050603-0.048989i
-0.049512+0.0085181i,0.060917-0.010255i,-0.078935+0.013188i,0.11156-0.018892i,-0.18826+0.033304i,0.57922-0.11163i,0.56418-0.12535i,-0.19407+0.053586i,0.11983-0.045551i,-0.089828+0.054905i,0.081437-0.10891i,0.027982-0.39452i,0.017021+0.074005i
0.051595+0.016324i,-0.062887-0.020578i,0.080527+0.027396i,-0.11208-0.039937i,0.18531+0.069911i,-0.55421-0.22507i,-0.51773-0.23263i,0.1664+0.086976i,-0.090217-0.06105i,0.047607+0.057237i,0.015317-0.083722i,0.3908-0.22002i,-0.12421+0.034207i
-0.021529-0.048765i,0.025732+0.059893i,-0.032167-0.077447i,0.043411+0.10919i,-0.06885-0.18374i,0.19379+0.56343i,0.16398+0.54659i,-0.043355-0.18702i,0.012806+0.11446i,0.012602-0.08393i,-0.075264+0.068536i,-0.43415-0.048239i,0.11102+0.05037i
-0.022134+0.047523i,0.027689-0.057833i,-0.036608+0.074004i,0.053049-0.10306i,-0.092438+0.17084i,0.29677-0.51379i,0.30666-0.48508i,-0.11503+0.15908i,0.081404-0.090007i,-0.0775+0.054094i,0.11628-0.008143i,0.3172+0.28222i,-0.05129-0.10253i
0.049482-0.0142i,-0.060765+0.016668i,0.078644-0.020419i,-0.11113+0.026918i,0.18782-0.041458i,-0.58029+0.11198i,-0.57007+0.088252i,0.19928-0.019499i,-0.1268+0.00031807i,0.10091+0.018876i,-0.10565-0.073988i,-0.096339-0.4009i,-0.02084+0.10473i
-0.042226-0.027742i,0.051333+0.034667i,-0.065695-0.045729i,0.09166+0.066017i,-0.15261-0.11439i,0.46286+0.36435i,0.4436+0.37249i,-0.14947-0.13782i,0.089221+0.095949i,-0.061576-0.089843i,0.036918+0.13377i,-0.14196+0.37467i,0.072314-0.06637i
0.0060787+0.049316i,-0.0066911-0.060691i,0.0075969+0.078731i,-0.0091086-0.11156i,0.012318+0.18917i,-0.026839-0.58712i,-0.012244-0.58071i,-0.0028441+0.20531i,0.0094936-0.13347i,-0.020404+0.11131i,0.060804-0.13263i,0.31744-0.2271i,-0.087881+0.01312i
0.033465-0.035974i,-0.041732+0.043816i,0.054855-0.056228i,-0.078758+0.078758i,0.13538-0.1319i,-0.42638+0.40363i,-0.42913+0.39249i,0.15541-0.13562i,-0.10513+0.084973i,0.094981-0.065774i,-0.13654+0.063276i,-0.38163+0.016589i,0.073245+0.030759i
-0.048892-0.0025378i,0.060259+0.0037179i,-0.07826-0.0055897i,0.11097+0.0089967i,-0.18823-0.017072i,0.5842+0.058716i,0.57797+0.06422i,-0.20472-0.025424i,0.13403+0.019346i,-0.1144-0.021155i,0.14687+0.042243i,0.32554+0.18882i,-0.045104-0.054919i
0.02968+0.039138i,-0.036229-0.048547i,0.046593+0.063431i,-0.065425-0.090442i,0.10992+0.15417i,-0.33811-0.48051i,-0.33183-0.47699i,0.11679+0.16944i,-0.076163-0.11139i,0.064913+0.096209i,-0.082834-0.12894i,-0.17327-0.33123i,0.017103+0.063154i
0.010542-0.048283i,-0.013376+0.059406i,0.017856-0.077i,-0.025962+0.10894i,0.044987-0.18434i,-0.14178+0.57064i,-0.14101+0.56317i,0.049341-0.19917i,-0.030874+0.13061i,0.023526-0.11271i,-0.023065+0.15041i,-0.029611+0.37344i,0.0077145-0.063674i
-0.043578+0.023678i,0.053836-0.028802i,-0.070068+0.036914i,0.099522-0.051678i,-0.16897+0.086676i,0.52414-0.26689i,0.51689-0.26379i,-0.18161+0.094673i,0.11686-0.064617i,-0.096259+0.060869i,0.11502-0.09594i,0.2267-0.30316i,-0.033437+0.058684i
