-0.043467-0.023123i,0.050828+0.025062i,-0.06323-0.027408i,0.089163+0.030279i,-0.17871-0.033511i,-0.79719+0.049614i,0.11369-0.051824i,-0.072755+0.06963i,0.10509-0.13161i,0.23473-0.23731i,-0.037204+0.014346i,-0.1109+0.043787i,-0.16861-0.013498i
-0.004492+0.0066396i,0.0095935-0.011459i,-0.018666+0.020003i,0.038099-0.038339i,-0.10452+0.10153i,-0.59475+0.5724i,0.092673-0.092751i,-0.038446+0.049553i,-0.044399-0.012345i,-0.43558+0.14987i,0.1735-0.048832i,-0.21265-0.081662i,0.085517-0.16929i
-0.024276+0.035874i,0.019772-0.040437i,-0.010573+0.047376i,-0.011362-0.060134i,0.092804+0.098018i,0.81149+0.263i,-0.17454+0.0049938i,0.12097-0.043197i,-0.068283+0.11505i,0.36979+0.28508i,-0.22723-0.049654i,0.35945+0.020337i,-0.093023-0.0067471i
0.044274-0.026607i,-0.04722+0.034459i,0.050561-0.047846i,-0.054216+0.075592i,0.05686-0.16839i,-0.09655-0.80092i,0.084351+0.1055i,-0.10087-0.035254i,0.15345-0.048289i,0.12412-0.34852i,0.059972+0.097351i,-0.15792+0.049112i,0.053+0.19688i
-0.024868-0.027291i,0.032606+0.026516i,-0.045462-0.023795i,0.07142+0.01545i,-0.15618+0.020374i,-0.71456+0.40969i,0.086312-0.11495i,-0.018667+0.10108i,-0.072568-0.11838i,-0.40183-0.024473i,0.13096-0.049289i,-0.17204-0.042665i,-0.0036462-0.21143i
-0.015136+0.065704i,0.011467-0.074084i,-0.0040361+0.086572i,-0.01371-0.10903i,0.080231+0.17439i,0.66804+0.44301i,-0.14515+0.014756i,0.10883-0.0759i,-0.098483+0.17369i,0.1247+0.31087i,-0.13345-0.0078851i,0.27603-0.05904i,-0.0078172+0.059843i
0.038984-0.049644i,-0.043988+0.058599i,0.0511-0.072987i,-0.062988+0.10126i,0.094077-0.19209i,0.16717-0.73848i,0.03636+0.069504i,-0.075548-0.0053105i,0.16026-0.048821i,0.29436-0.11213i,-0.010467-0.020868i,-0.08287+0.17454i,0.012763+0.068924i
-0.036938-0.0027654i,0.045772+0.0025375i,-0.060193-0.0018341i,0.088928-0.00039499i,-0.18216+0.01083i,-0.77725+0.12689i,0.087494-0.037921i,-0.019216+0.044532i,-0.051932-0.098596i,-0.26043-0.2914i,0.075815+0.087666i,-0.13329-0.1672i,-0.077414-0.049822i
0.023973+0.044749i,-0.027969-0.052958i,0.034606+0.066105i,-0.048346-0.09175i,0.095624+0.17304i,0.4211+0.64686i,-0.060466-0.052342i,0.041692-0.013517i,-0.071379+0.10023i,-0.19013+0.31554i,0.033439-0.056909i,0.10809-0.013724i,0.17118-0.034112i
-0.010185-0.047315i,0.0063682+0.054934i,0.00063343-0.067106i,-0.015852+0.091025i,0.067867-0.16846i,0.47437-0.63566i,-0.08224+0.062411i,0.034995-0.016167i,0.048781+0.0081623i,0.43858+0.11919i,-0.15766-0.089419i,0.098901+0.23113i,-0.16345+0.02622i
