0.0073655-0.018878i,-0.010677+0.024343i,0.01763-0.035052i,-0.038628+0.065667i,0.44744-0.64174i,0.078578-0.09629i,-0.061123+0.06991i,0.32131-0.43639i,0.02619-0.060532i,-0.011139+0.048295i,-0.029912+0.067832i,0.006725+0.014074i,-0.0039232-0.037084i
-0.02173+0.011591i,0.027459-0.015478i,-0.038843+0.022615i,0.071901-0.041343i,-0.70256+0.36226i,-0.10764+0.03923i,0.081745-0.0087262i,-0.52781-0.072612i,-0.069936-0.0102i,0.04773-0.0083959i,0.03436-0.076637i,0.02053+0.0080062i,-0.037565+0.0098444i
0.024921+0.0080286i,-0.032429-0.00728i,0.046731+0.0061537i,-0.086086-0.0046219i,0.79592+0.014509i,0.10343+0.011596i,-0.05342-0.034863i,0.17565+0.48148i,0.01772+0.083473i,-0.024737-0.044019i,-0.077332+0.088714i,-0.0029904-0.04762i,0.028054+0.044098i
-0.0087547-0.023091i,0.015938+0.026535i,-0.029553-0.033005i,0.065967+0.051124i,-0.69079-0.39316i,-0.087964-0.047099i,0.019756+0.036468i,0.33379-0.3527i,0.081633-0.066273i,-0.038449+0.045046i,0.14477-0.05223i,-0.054123+0.049224i,0.03305-0.062345i
-0.013537+0.016245i,0.0093335-0.023051i,-0.00091974+0.035839i,-0.022129-0.070123i,0.41398+0.66681i,0.069816+0.081228i,-0.015821-0.024775i,-0.4353-0.14768i,-0.11851-0.040889i,0.072197+0.018693i,-0.17557-0.045672i,0.094268+0.010557i,-0.087684+0.011602i
0.017276+0.0083215i,-0.01738-0.00074782i,0.016863-0.014153i,-0.013978+0.055059i,-0.051189-0.7659i,-0.032112-0.12025i,0.025047+0.039728i,0.032093+0.44271i,0.038768+0.13719i,-0.028091-0.089048i,0.12103+0.15247i,-0.06432-0.09036i,0.073531+0.072294i
0.0066707-0.023529i,-0.0031764+0.017748i,-0.0033895-0.0054509i,0.020395-0.03053i,-0.29614+0.68716i,-0.040918+0.13938i,-0.0015935-0.075498i,0.39938-0.19665i,0.094347-0.12213i,-0.066219+0.090305i,-2.4823e-05-0.19113i,-0.027172+0.11722i,0.011236-0.11252i
-0.036282+0.0052598i,0.031458-0.0020772i,-0.02102-0.0051341i,-0.0095017+0.027873i,0.5584-0.47739i,0.12815-0.1008i,-0.065447+0.078987i,-0.35023-0.30459i,-0.15918-0.0005937i,0.12722-0.0057713i,-0.10848+0.13166i,0.1091-0.056884i,-0.098744+0.064228i
0.035075+0.038434i,-0.030133-0.03981i,0.018686+0.042125i,0.017187-0.048735i,-0.70964+0.19032i,-0.17311+8.4876e-05i,0.12304-0.012392i,-0.14037+0.47423i,0.095522+0.12397i,-0.093537-0.10035i,0.13288-0.023068i,-0.1101-0.04763i,0.11117+0.038217i
0.010611-0.067192i,-0.015986+0.067334i,0.027393-0.06558i,-0.062092+0.056722i,0.7397+0.13861i,0.13224+0.11068i,-0.10278-0.089496i,0.51938-0.090656i,0.037368-0.1418i,-0.014215+0.13936i,-0.073172-0.048054i,0.026372+0.10993i,-0.034399-0.10814i
