-0.0055668-0.016917i,0.0087097+0.020784i,-0.01399-0.026687i,0.023924+0.03676i,-0.046827-0.05779i,0.13318+0.1297i,0.73857+0.54104i,-0.16465-0.078425i,0.16385+0.016035i,0.037532-0.09478i,0.04673+0.044744i,-0.080288-0.02751i,0.3125-0.067546i
-0.041377+0.015254i,0.048087-0.018474i,-0.057901+0.023297i,0.073958-0.031335i,-0.10617+0.047622i,0.21279-0.10126i,0.76437-0.37985i,-0.088265+0.038966i,0.0037305+0.035852i,-0.066071+0.14375i,0.0036239-0.053592i,0.036009+0.031266i,-0.27622+0.059636i
0.0109+0.025458i,-0.011679-0.030868i,0.012585+0.039236i,-0.013666-0.053832i,0.015033+0.08531i,-0.017269-0.19783i,0.0082449-0.90265i,-0.015578+0.16926i,0.009148-0.15434i,-0.062101-0.075472i,0.052839-0.0030585i,-0.075258+0.014766i,0.30792-0.092387i
0.027272+0.0052935i,-0.033401-0.0049378i,0.042782+0.0041513i,-0.058848-0.0024154i,0.092528-0.00193i,-0.20812+0.018603i,-0.87196+0.14361i,0.12653-0.030714i,-0.019504+0.0020299i,0.18807-0.099399i,-0.10026+0.065798i,0.096114-0.080469i,-0.23818+0.27546i
0.011872-0.032655i,-0.013834+0.038478i,0.016731-0.047246i,-0.021545+0.062118i,0.031449-0.093324i,-0.06548+0.20223i,-0.26046+0.84682i,0.042561-0.14375i,-0.042312+0.12475i,-0.058366+0.094677i,0.030313-0.032026i,-0.043711+0.046962i,0.20069-0.23932i
-0.028448-0.018622i,0.033561+0.022952i,-0.041143-0.029577i,0.053731+0.040904i,-0.07937-0.064542i,0.16548+0.14503i,0.63235+0.5991i,-0.083254-0.080956i,0.021446-0.010244i,-0.047187-0.18316i,0.00922+0.09242i,0.018209-0.091917i,-0.18711+0.26917i
-0.015294+0.010503i,0.019713-0.012815i,-0.026797+0.016345i,0.039577-0.022373i,-0.067971+0.034935i,0.17181-0.077621i,0.85569-0.31564i,-0.17262+0.040768i,0.15537+0.012371i,0.02682+0.1146i,0.041993-0.059088i,-0.066046+0.064735i,0.23557-0.23976i
-0.017691+0.03053i,0.019711-0.036779i,-0.022353+0.046244i,0.02605-0.062323i,-0.031968+0.09589i,0.045886-0.21142i,0.035071-0.8797i,0.039621+0.13608i,-0.099719-0.070152i,-0.10378+0.04075i,0.00099175-0.0229i,0.035586-0.0013669i,-0.21781+0.18165i
0.04159+0.0098016i,-0.048319-0.012185i,0.058122+0.015983i,-0.07406-0.022815i,0.10576+0.038021i,-0.20945-0.093981i,-0.72877-0.46461i,0.073826+0.095948i,0.026726-0.096125i,0.11358-0.041785i,-0.019351-0.014065i,-0.021357+0.03528i,0.21206-0.20633i
0.0091946-0.0080176i,-0.013033+0.010375i,0.01929-0.014218i,-0.030706+0.021293i,0.056205-0.037399i,-0.14929+0.097982i,-0.76484+0.51748i,0.15199-0.11587i,-0.11515+0.13125i,0.049435+0.083657i,-0.072202+0.0047174i,0.09228-0.030556i,-0.27565+0.19871i
