0.041824-0.022961i,-0.049426+0.027758i,0.06041-0.034837i,-0.077704+0.046237i,0.10904-0.067381i,-0.18374+0.11898i,0.60666-0.41714i,0.43522-0.32471i,-0.14976+0.12659i,0.074345-0.083293i,-0.16138+0.083949i,0.058461-0.070372i,-0.025087+0.086288i
-0.041374+0.024637i,0.048804-0.029749i,-0.059516+0.037285i,0.076348-0.049411i,-0.10678+0.071891i,0.17915-0.12674i,-0.58812+0.44376i,-0.41847+0.34545i,0.14211-0.13541i,-0.068341+0.092484i,0.15429-0.052825i,-0.050841+0.063667i,0.012578-0.076046i
0.040526-0.026462i,-0.047732+0.031894i,0.058109-0.039893i,-0.074389+0.052748i,0.10378-0.076549i,-0.17358+0.13457i,0.5676-0.46985i,0.40181-0.36498i,-0.13554+0.14333i,0.064869-0.10052i,-0.13787+0.022746i,0.042959-0.055986i,-0.002049+0.063551i
-0.039263+0.028451i,0.046197-0.034214i,-0.056173+0.042684i,0.071814-0.05627i,-0.10003+0.081383i,0.16702-0.14251i,-0.54512+0.49541i,-0.38527+0.38317i,0.13007-0.15014i,-0.063816+0.10689i,0.11344+0.0029639i,-0.035239+0.048159i,-0.0059096-0.049854i
0.037597-0.030602i,-0.04421+0.036705i,0.053725-0.045654i,-0.068642+0.059976i,0.095559-0.086389i,-0.15951+0.15055i,0.52077-0.52042i,0.36884-0.39992i,-0.12558+0.15574i,0.064833-0.11124i,-0.083185-0.02147i,0.028148-0.04099i,0.010849+0.036065i
-0.03556+0.032893i,0.04181-0.039342i,-0.050808+0.048776i,0.064928-0.063834i,-0.090438+0.091534i,0.15114-0.15866i,-0.49472+0.5448i,-0.3524+0.41523i,0.12184-0.16009i,-0.067372+0.11337i,0.049945+0.030716i,-0.022148+0.035191i,-0.012499-0.023271i
0.033205-0.035278i,-0.039057+0.042076i,0.047493-0.051994i,-0.060754+0.067783i,0.084763-0.096746i,-0.14204+0.16674i,0.46714-0.56842i,0.33579-0.42914i,-0.11856+0.16328i,0.070742-0.11333i,-0.016903-0.029625i,0.017651-0.031326i,0.010799+0.012465i
-0.030601+0.037689i,0.036028-0.044831i,-0.043869+0.055227i,0.056224-0.071732i,-0.07866+0.10192i,0.13237-0.17467i,-0.43827+0.59112i,-0.31882+0.44176i,0.11539-0.16548i,-0.074183+0.11138i,-0.012744+0.018202i,-0.01497+0.029773i,-0.0059108-0.0044775i
0.027826-0.040041i,-0.032813+0.047517i,0.040036-0.058373i,-0.051455+0.075565i,0.072266-0.10693i,-0.12229+0.1823i,0.40836-0.61267i,0.30126-0.45328i,-0.11195+0.16695i,0.076942-0.10797i,0.036128+0.0024791i,0.014276-0.030698i,-0.0017764-8.0444e-05i
-0.024966+0.042241i,0.029505-0.050028i,-0.036101+0.061316i,0.046568-0.079155i,-0.065725+0.11162i,0.11199-0.18946i,-0.37767+0.63285i,-0.28291+0.46391i,0.10791-0.16803i,-0.078341+0.10373i,-0.05102-0.030397i,-0.015567+0.034053i,0.01166+0.0008524i
0.022104-0.044189i,-0.026197+0.052259i,0.032168-0.063938i,-0.041682+0.082367i,0.059175-0.11585i,-0.10162+0.19596i,0.34643-0.65142i,0.26359-0.47387i,-0.10298+0.16907i,0.077845-0.099354i,0.056073+0.062797i,0.018652-0.039587i,-0.022954+0.0022434i
