-0.052311-0.049381i,0.053212+0.055249i,-0.052603-0.064797i,0.045383+0.086826i,0.36947-0.76435i,0.10043+0.033438i,-0.094976-0.086408i,0.12284+0.38635i,-0.078261+0.10736i,0.085471-0.046763i,-0.050722+0.15351i,0.13107+0.0728i,-0.12773-0.043197i
-0.071821+0.048102i,0.079295-0.049867i,-0.091069+0.051384i,0.11737-0.051375i,-0.90938-0.052216i,0.054977-0.069686i,-0.11357+0.071207i,0.41811-0.089301i,0.072888+0.062542i,-0.0056447-0.061985i,0.077338-0.024695i,0.099153-0.14432i,-0.080868+0.13341i
0.03565+0.086435i,-0.037962-0.094673i,0.041338+0.10722i,-0.048549-0.13403i,0.27452+0.9021i,-0.027-0.077435i,0.035495+0.13735i,-0.043461-0.44476i,0.034367-0.043033i,-0.026923-0.032204i,-0.09407+0.014706i,-0.1295-0.10887i,0.11292+0.10914i
0.089522-0.018453i,-0.097478+0.020948i,0.10914-0.025631i,-0.13252+0.038839i,0.74232-0.55456i,-0.095252-0.018634i,0.1518+0.0045297i,-0.45972-0.0071455i,-0.025316-0.0015517i,-0.057464-0.011045i,0.1021+0.14204i,-0.097572+0.090639i,0.11906-0.070453i
-0.048136-0.076143i,0.053286+0.082858i,-0.061469-0.092795i,0.08008+0.11315i,-0.65794-0.66693i,0.031777+0.075606i,-0.070327-0.12202i,0.25792+0.36482i,0.045316+0.020103i,-0.009096+0.037623i,0.10749+0.0090473i,0.094311+0.13245i,-0.069197-0.13671i
-0.084054+0.02879i,0.090139-0.033514i,-0.098311+0.041866i,0.1123-0.063344i,-0.38398+0.81273i,0.10839+0.0081655i,-0.14845+0.032359i,0.39714-0.20994i,-0.0025226-0.080752i,0.067888+0.051484i,-0.078739-0.17393i,0.12254-0.057052i,-0.13607+0.020891i
0.0068062+0.079023i,-0.010573-0.083664i,0.018019+0.088994i,-0.039126-0.094696i,0.82862+0.037226i,0.040634-0.12776i,-0.0016632+0.15904i,-0.1651-0.41169i,-0.11189+0.0064954i,0.086608-0.078035i,-0.20545+0.14747i,-0.010367-0.08634i,-0.02652+0.1075i
0.062222+0.011623i,-0.064892-0.0090739i,0.066845+0.0033411i,-0.063854+0.014338i,-0.31164-0.70555i,-0.13089-0.057053i,0.15269+0.022889i,-0.40786+0.13274i,-0.0087038+0.12888i,-0.066783-0.10409i,0.18445+0.19235i,-0.032882-0.032934i,0.059808+0.060275i
0.02129-0.037885i,-0.019932+0.038486i,0.016346-0.037215i,-0.0044767+0.026764i,-0.46748+0.59938i,-0.052264+0.11905i,0.025396-0.13261i,0.11918+0.38965i,0.12524+0.038701i,-0.097774+0.038203i,0.13481-0.18438i,-0.06195-0.024404i,0.072302-0.0061309i
-0.012386-0.019344i,0.011292+0.018919i,-0.0076399-0.017517i,-0.0075829+0.012808i,0.77261+0.15759i,0.097138+0.025987i,-0.1054-0.0077993i,0.36449-0.12603i,0.075434-0.099619i,0.00051289+0.067409i,-0.15001-0.043196i,-0.071026+0.07009i,0.039611-0.060646i
