-0.037042+0.045643i,0.053211-0.064989i,-0.09388+0.11343i,0.40297-0.48111i,0.16798-0.19845i,-0.06529+0.077038i,0.035677-0.043697i,-0.016213+0.025492i,-0.01345-0.0073094i,0.52372-0.2009i,0.09361-0.047406i,-0.053926+0.057831i,0.16359+0.30624i
0.046236+0.034129i,-0.069565-0.039138i,0.13002+0.050266i,-0.60163-0.12771i,-0.27831-0.012023i,0.12667-0.014478i,-0.091391+0.022687i,0.08221-0.027429i,-0.097403+0.030345i,0.63596-0.011613i,0.038014+0.038084i,-0.019157-0.015833i,-0.13831+0.36528i
-0.032492-0.055774i,0.042753+0.0788i,-0.067311-0.13703i,0.24683+0.58243i,0.080611+0.24275i,-0.019246-0.0964i,-0.00082862+0.057055i,0.016823-0.036209i,-0.044751+0.015382i,0.53692+0.23345i,0.062021+0.058163i,-0.053612-0.029795i,-0.30075+0.18141i
-0.059981+0.046829i,0.076414-0.065917i,-0.11604+0.11493i,0.4087-0.49515i,0.12773-0.21327i,-0.029393+0.09072i,2.9274e-05-0.061834i,0.01904+0.053828i,-0.043972-0.064931i,0.39718+0.48044i,0.025677+0.040319i,-0.024472-0.025323i,-0.34762-0.09126i
0.054221-0.012545i,-0.078292+0.011252i,0.13988-0.0060352i,-0.61552-0.045289i,-0.26884-0.056768i,0.11425+0.043109i,-0.075491-0.044308i,0.059789+0.052389i,-0.056388-0.077467i,0.1944+0.6044i,-0.011097+0.041549i,0.0034183-0.029916i,-0.19865-0.30548i
-0.032684-0.070194i,0.043003+0.094076i,-0.068985-0.1527i,0.26776+0.59104i,0.101+0.21513i,-0.036222-0.06862i,0.019838+0.025707i,-0.013243+0.0017738i,0.012466-0.038534i,-0.092292+0.5858i,-0.012149+0.071643i,0.013455-0.058714i,0.05761-0.32723i
-0.012396+0.036092i,0.025091-0.055364i,-0.05905+0.10556i,0.32933-0.49855i,0.17763-0.23545i,-0.091565+0.10936i,0.072522-0.080367i,-0.068539+0.073233i,0.07821-0.086587i,-0.37215+0.5398i,0.0062772+0.026961i,-0.004312-0.017176i,0.31127-0.21887i
0.066413-0.0060542i,-0.092079+0.0050044i,0.15577-0.0016389i,-0.63576-0.028311i,-0.24924-0.029842i,0.089726+0.021344i,-0.044321-0.021246i,0.016989+0.024926i,0.01637-0.03812i,-0.48181+0.33507i,-0.075835+0.029367i,0.068941-0.010036i,0.32031+0.034731i
-0.0091547-0.035811i,0.019147+0.056978i,-0.046186-0.11173i,0.26355+0.53703i,0.14578+0.25446i,-0.077585-0.11607i,0.064329+0.080738i,-0.065543-0.064437i,0.086757+0.052756i,-0.62334+0.036314i,-0.040896+0.062372i,0.027481-0.0377i,0.24255+0.30951i
-0.024766+0.052245i,0.037143-0.073722i,-0.069309+0.12746i,0.3212-0.53537i,0.14967-0.2187i,-0.069345+0.084194i,0.051925-0.047636i,-0.050258+0.02848i,0.068669-0.011759i,-0.59095-0.13773i,-0.057704-0.036387i,0.030255+0.050374i,-0.011475+0.3327i
0.049936+0.018686i,-0.074437-0.02016i,0.13686+0.022452i,-0.61617-0.031929i,-0.27243+0.019087i,0.11482-0.024244i,-0.071981+0.02867i,0.047859-0.03554i,-0.018955+0.052663i,-0.40885-0.3989i,-0.10281-0.027273i,0.059049+0.027202i,-0.29352+0.26823i
