-0.00045049+0.0024657i,-6.3528e-05-0.0032925i,0.00094306+0.0045645i,-0.0025842-0.0067152i,0.0061775+0.011005i,-0.017545-0.023426i,0.6404+0.65422i,0.034567+0.025136i,-0.021704-0.005162i,-0.021353-0.3658i,-0.023136-0.030053i,0.025864+0.021658i,-0.037249-0.017417i
-0.0026728+0.00404i,0.0028379-0.0051746i,-0.0029917+0.0069104i,0.0030818-0.0098386i,-0.0029184+0.015692i,0.0014553-0.032772i,0.11699+0.91168i,0.014326+0.036447i,-0.016272-0.012034i,0.19867-0.31505i,-0.0041069-0.030827i,0.012142+0.023205i,-0.025259-0.019961i
-0.0026086-0.0024168i,0.0024582+0.003195i,-0.0021254-0.0044428i,0.001405+0.0066679i,0.00031475-0.011415i,-0.0059827+0.026344i,0.31769-0.85459i,0.019363-0.045223i,-0.010384+0.034263i,-0.17348-0.35047i,-0.025872+0.0025073i,0.024578-0.011372i,-0.02887+0.023485i
-0.0014728+0.0092211i,0.0020669-0.010375i,-0.0030291+0.011971i,0.0047617-0.014404i,-0.0084969+0.018818i,0.02038-0.03069i,-0.68751+0.61358i,-0.038152+0.014591i,0.031267-0.00051773i,-0.39673-0.012326i,-0.0039597+0.0096625i,-0.0050012-0.015526i,0.014583+0.026586i
0.011128-0.0010882i,-0.012715+0.0014142i,0.014956-0.0019041i,-0.018444+0.0027065i,0.024894-0.0042381i,-0.042485+0.0084047i,0.90871-0.20381i,0.024087-0.0047845i,-0.0003968-0.0051312i,-0.20261+0.32001i,-0.0025738+0.018929i,-0.0083099-0.01171i,0.023292+0.0067907i
-0.0011982-0.0074384i,0.002096+0.0082463i,-0.0035383-0.0093119i,0.0060847+0.01083i,-0.011393-0.013326i,0.027482+0.01916i,-0.88077-0.26051i,-0.041783+0.0045882i,0.021219-0.017266i,0.15303+0.34897i,0.029236+0.0025549i,-0.026312+0.0097504i,0.027753-0.025046i
-0.00018615-0.0016818i,-0.00025871+0.001258i,0.0010343-0.0004874i,-0.0025186-0.0010161i,0.0058777+0.0044203i,-0.016956-0.015461i,0.65249+0.63068i,0.039587+0.036786i,-0.033767-0.025322i,0.39937+0.045264i,-0.00020558-0.021491i,0.010381+0.024824i,-0.022288-0.03292i
-0.0076636-0.0053567i,0.0084965+0.0063568i,-0.009596-0.0078685i,0.011168+0.010418i,-0.013779-0.015591i,0.020028+0.03121i,-0.28968-0.87513i,0.0022374-0.040421i,-0.013426+0.028101i,0.22541-0.32767i,-0.0041937-0.0050317i,0.014208-0.00097458i,-0.028098+0.0069761i
-0.004421+0.012422i,0.0047985-0.014136i,-0.0052923+0.016536i,0.0060048-0.020231i,-0.0072418+0.02697i,0.01052-0.045029i,-0.17589+0.91786i,-0.003373+0.020462i,0.0020782+0.006176i,-0.15572-0.34944i,-0.014278-0.0068859i,0.012599-0.0074528i,-0.012824+0.024495i
0.009495-0.00050546i,-0.01074+0.0011184i,0.012458-0.0021363i,-0.015056+0.0039937i,0.019682-0.0079985i,-0.031698+0.020559i,0.5928-0.70756i,0.0085204-0.037193i,0.011755+0.024159i,-0.38492-0.058677i,-0.0080666+0.017288i,-0.0055627-0.019821i,0.021017+0.025605i
-5.7935e-05-0.00026879i,0.00069105+8.1273e-05i,-0.0017761+0.0002655i,0.0038153-0.00096417i,-0.0083389+0.0026208i,0.022923-0.00832i,-0.84014+0.3467i,-0.047647+0.022849i,0.035594-0.021723i,-0.25254+0.31643i,0.013686+0.0038722i,-0.021374+0.0043539i,0.032721-0.013765i
0.0067139-0.0075274i,-0.0078957+0.0080501i,0.0096475-0.0086354i,-0.012535+0.0092688i,0.018241-0.0098479i,-0.034986+0.0096593i,0.9165+0.078192i,0.037755+0.022697i,-0.021282-0.028998i,0.15636+0.37209i,-0.00023669-0.0060266i,0.0016196+0.018941i,-0.0034484-0.035078i
-0.0088758+0.0036414i,0.010054-0.0044241i,-0.011724+0.0055807i,0.014355-0.0074609i,-0.019336+0.011075i,0.033458-0.021202i,-0.76391+0.52413i,-0.026715+0.016939i,0.014679-0.00090776i,-0.26459-0.26881i,-0.017669-0.016219i,0.017123+0.007385i,-0.023307+0.0035886i
0.0062398+0.0041588i,-0.0075284-0.0043319i,0.0094449+0.0044802i,-0.012591-0.0045481i,0.018716+0.004358i,-0.036171-0.0030232i,0.91853-0.091269i,0.032252-0.011679i,-0.0065565+0.009303i,-0.35928+0.073875i,-0.026685+0.01944i,0.016339-0.021717i,-0.0075775+0.031357i
-0.0024061-9.4895e-05i,0.0032403+0.00049705i,-0.0045655-0.0011433i,0.0068983+0.0022728i,-0.011794-0.004573i,0.026884+0.011269i,-0.8466-0.34712i,-0.042088-0.013616i,0.027458+0.00038665i,-0.13491+0.35325i,0.013157+0.027511i,-0.017794-0.020448i,0.028674+0.01764i
0.0089459+0.0029329i,-0.0099584-0.0036262i,0.011359+0.0047123i,-0.013507-0.0066102i,0.017473+0.010595i,-0.028479-0.022986i,0.59142+0.70658i,0.017799+0.035961i,-0.0090757-0.027002i,0.24868+0.29947i,0.020663+0.00042986i,-0.019817+0.0071546i,0.024559-0.018275i
-0.0022409-0.010949i,0.0026539+0.012441i,-0.0032382-0.014552i,0.0041348+0.017856i,-0.0057262-0.024043i,0.0097118+0.041262i,-0.18104-0.91182i,-0.00045557-0.028227i,-0.010292+0.0094584i,0.3748-0.070589i,0.0165-0.0096931i,-0.0065577+0.014281i,-0.0034036-0.024621i
-0.0052933+0.0044256i,0.0059558-0.0055719i,-0.0068535+0.0073094i,0.0081794-0.010212i,-0.010476+0.015958i,0.016269-0.032561i,-0.28082+0.8797i,-0.0024801+0.033565i,-0.0066989-0.0091637i,0.13669-0.34338i,-0.0030745-0.029639i,0.010657+0.020699i,-0.023378-0.014926i
