0.010003-0.076284i,-0.0079004+0.086141i,0.0029659-0.10089i,0.012762+0.12912i,-0.42475-0.50788i,-0.061545+0.13326i,0.028659-0.32314i,-0.11039-0.5575i,0.076953+0.088808i,-0.15539-0.042454i,0.0052638-0.043102i,-0.031694+0.063811i,0.041608-0.090785i
-0.021513+0.073068i,0.02038-0.082788i,-0.016684+0.097403i,0.0026876-0.12559i,0.40346+0.50808i,0.083143-0.12854i,-0.065346+0.31876i,0.074052+0.56651i,-0.080024-0.097858i,0.15987+0.065546i,-0.025025+0.044736i,0.054311-0.060829i,-0.069324+0.086016i
0.031662-0.067533i,-0.031434+0.076954i,0.028903-0.091243i,-0.016555+0.11913i,-0.38381-0.50502i,-0.10293+0.12007i,0.10008-0.30923i,-0.03548-0.57478i,0.080468+0.10961i,-0.15925-0.091051i,0.043634-0.040948i,-0.074833+0.051833i,0.09441-0.074071i
-0.03997+0.060167i,0.04055-0.069148i,-0.039073+0.082943i,0.028246-0.11033i,0.36646+0.49928i,0.12019-0.1085i,-0.13198+0.29524i,-0.0057633+0.58156i,-0.07752-0.12322i,0.15285+0.11769i,-0.059805+0.032408i,0.091829-0.037708i,-0.11516+0.055993i
0.046123-0.05155i,-0.047388+0.059979i,0.046824-0.073143i,-0.037352+0.099844i,-0.35185-0.49158i,-0.1344+0.094606i,0.16039-0.27765i,0.049875-0.58601i,0.070676+0.13769i,-0.14033-0.14403i,0.072513-0.020067i,-0.10418+0.019647i,0.13024-0.033206i
-0.049979+0.042295i,0.051787-0.050093i,-0.051974+0.062527i,0.04367-0.088413i,0.34022+0.48271i,0.14527-0.079218i,-0.18491+0.25737i,-0.096791+0.58721i,-0.059727-0.15193i,0.12175+0.1686i,-0.081046+0.0050595i,0.11115+0.0009457i,-0.13872+0.0073914i
0.051565-0.033002i,-0.053768+0.040127i,0.054534-0.051773i,-0.047193+0.076759i,-0.33161-0.47344i,-0.15275+0.06319i,0.20537-0.23535i,0.14619-0.58425i,0.044762+0.16483i,-0.097513-0.18994i,0.085024+0.011386i,-0.11239-0.022567i,0.14019+0.019636i
-0.051057+0.024211i,0.053507-0.030657i,-0.05468+0.041498i,0.048097-0.065547i,0.32583+0.4645i,0.15699-0.047314i,-0.22184+0.2125i,-0.19749+0.57632i,-0.026145-0.17538i,0.068369+0.20675i,-0.0844-0.028038i,0.10794+0.043722i,-0.13467-0.046057i
0.048749-0.016374i,-0.051307+0.022166i,0.052724-0.032224i,-0.046704+0.055342i,-0.32257-0.4565i,-0.15832+0.032278i,0.23459-0.18962i,0.24995-0.56277i,0.0044818+0.18268i,-0.035364-0.21796i,0.079427+0.043747i,-0.098219-0.063019i,0.12266+0.070163i
-0.045016+0.0098262i,0.047561-0.015021i,-0.049077+0.024351i,0.043443-0.046585i,0.32137+0.44993i,0.15719-0.018633i,-0.24404+0.16737i,-0.30262+0.54312i,0.019435-0.18604i,-0.00023326+0.22273i,-0.070617-0.057509i,0.083953+0.079251i,-0.10502-0.090461i
0.040281-0.0047858i,-0.042712+0.0094615i,0.044207-0.018146i,-0.03881+0.039576i,-0.3217-0.44514i,-0.15416+0.0067762i,0.25073-0.14623i,0.3545-0.5171i,-0.044683+0.18499i,0.037008-0.22058i,0.058684+0.068513i,-0.066114-0.091459i,0.082963+0.10575i
0.037942+0.052203i,-0.043051-0.060753i,0.051339+0.074326i,-0.069986-0.10263i,0.42351+0.54301i,-0.029999-0.08685i,0.10488+0.26805i,0.19111+0.56664i,-0.038821-0.12601i,0.096597+0.079659i,0.073718-0.018561i,-0.062949+0.0056139i,0.07313+0.0080673i
-0.029517-0.061763i,0.033907+0.070912i,-0.041245-0.085208i,0.058488+0.11447i,-0.40598-0.55927i,0.013477+0.10087i,-0.074347-0.28705i,-0.1513-0.56909i,0.036123+0.11731i,-0.095558-0.082035i,-0.063563-0.0080762i,0.051327+0.020222i,-0.058847-0.037373i
0.018983+0.0691i,-0.022536-0.078719i,0.028788+0.093583i,-0.04447-0.12361i,0.38571+0.57252i,0.0059904-0.1115i,0.040386+0.30137i,0.11351+0.57045i,-0.036316-0.11073i,0.095529+0.086321i,0.047434+0.030475i,-0.033679-0.041475i,0.037673+0.061369i
-0.0070128-0.073758i,0.0096405+0.083691i,-0.01471-0.098939i,0.028717+0.1295i,-0.36353-0.58218i,-0.027495+0.11812i,-0.0040552-0.31032i,-0.077125-0.57133i,0.038467+0.10702i,-0.095647-0.092939i,-0.0267-0.047357i,0.011487+0.056814i,-0.011304-0.078518i
-0.0056333+0.075487i,0.0039779-0.085563i,-0.00014695+0.10099i,-0.012121-0.13184i,0.34041+0.58793i,0.050002-0.12036i,-0.033453+0.31351i,0.04138+0.57209i,-0.041493-0.10656i,0.094938+0.10201i,0.0029866+0.05786i,0.013492-0.065363i,-0.018239+0.087797i
0.018168-0.074263i,-0.017492+0.084303i,0.014907-0.099704i,-0.0043864+0.13059i,-0.31734-0.58971i,-0.072431+0.11816i,0.070894-0.31084i,-0.0054727-0.57281i,0.044249+0.10942i,-0.092418-0.11332i,0.021944-0.061588i,-0.03936+0.066747i,0.048766-0.088763i
-0.029845+0.070274i,0.030113-0.080105i,-0.028736+0.095274i,0.019919-0.12594i,0.29527+0.58772i,0.093746-0.11173i,-0.10707+0.30256i,-0.031365+0.57325i,-0.045639-0.11534i,0.087191+0.12636i,-0.046329+0.058611i,0.064223-0.061109i,-0.078082+0.081565i
0.040016-0.063901i,-0.041157+0.073364i,0.040904-0.088113i,-0.033696+0.11832i,-0.27505-0.58242i,-0.11302+0.10155i,0.14089-0.28917i,0.069774-0.57291i,0.044703+0.12374i,-0.078541-0.14032i,0.068523-0.049446i,-0.086324+0.049072i,0.10414-0.066915i
-0.048178+0.055672i,0.050087-0.064633i,-0.050841+0.0788i,0.045102-0.10836i,0.25733+0.57446i,0.12953-0.088316i,-0.17147+0.27142i,-0.1102+0.5711i,-0.040696-0.1338i,0.06601+0.1542i,-0.087113+0.034992i,0.10417-0.03168i,-0.12519+0.046013i
0.054005-0.046212i,-0.056553+0.054566i,0.058165-0.068024i,-0.053723+0.096761i,-0.24259-0.56459i,-0.14273+0.072844i,0.19817-0.25022i,0.15283-0.56699i,0.033143+0.14453i,-0.049444-0.16689i,0.101-0.016448i,-0.11661+0.010299i,0.13988-0.020448i
-0.057359+0.036186i,0.060402-0.043863i,-0.062705+0.056522i,0.059364-0.084323i,0.23103+0.55367i,0.15238-0.056039i,-0.2206+0.22658i,-0.19761+0.55967i,-0.021872-0.15484i,0.029016+0.17721i,-0.10944-0.0047918i,0.12292+0.013492i,-0.14733-0.0079365i
0.058287-0.026242i,-0.061673+0.033209i,0.064492-0.045024i,-0.062045+0.071815i,-0.22267-0.54252i,-0.15844+0.0388i,0.23864-0.2015i,0.24418-0.54829i,0.0070154+0.16368i,-0.0052262-0.18409i,0.11209+0.027239i,-0.1228-0.038023i,0.14719+0.037174i
