-0.03415+0.021031i,0.039676-0.02721i,-0.047872+0.036599i,0.061512-0.052456i,-0.089531+0.085036i,0.18683-0.19587i,0.51879-0.57633i,-0.067644+0.055949i,-0.067279+0.29511i,-0.064331+0.20443i,0.029339-0.11467i,-0.097947+0.21457i,0.012928-0.086282i
0.025661+0.027738i,-0.030046-0.034339i,0.036369+0.044503i,-0.046459-0.062032i,0.0659+0.099195i,-0.12723-0.23148i,-0.26735-0.74062i,-0.018908+0.12176i,0.33257+0.066524i,0.15191+0.12708i,-0.073124-0.08236i,-0.096456+0.10362i,-0.026661-0.063425i
0.055476-0.0081835i,-0.063993+0.009473i,0.076537-0.0111i,-0.09727+0.013166i,0.13955-0.015628i,-0.28522+0.016063i,-0.76387-0.07557i,0.088622+0.078236i,0.14346-0.34414i,0.10793-0.11818i,-0.05162+0.04638i,-0.10183-0.099843i,-0.0059048+0.022503i
0.022287-0.032548i,-0.024858+0.03951i,0.028773-0.050052i,-0.035651+0.067905i,0.051095-0.10499i,-0.11186+0.23405i,-0.39092+0.69432i,0.11299-0.091481i,-0.3246-0.1646i,-0.11124-0.14841i,0.054591+0.083197i,-0.090084-0.20538i,0.044788+0.06246i
-0.028406-0.0094994i,0.033751+0.013283i,-0.0417-0.019556i,0.054883+0.031275i,-0.081596-0.05841i,0.17176+0.16482i,0.45608+0.6908i,-0.034865-0.19393i,-0.23176+0.35776i,-0.14114+0.037221i,0.074958+0.0085739i,0.0088587-0.15532i,0.039691+0.03428i
-0.039083+0.028981i,0.045388-0.032387i,-0.05501+0.037056i,0.07167-0.044072i,-0.10777+0.05662i,0.24198-0.092495i,0.80165-0.11252i,-0.18082-0.05271i,0.29922+0.31988i,0.048663+0.10686i,-0.0124-0.036914i,0.14833-0.041263i,-0.020989+0.00093403i
-0.010171+0.032109i,0.010932-0.038166i,-0.012124+0.047543i,0.014399-0.063973i,-0.02024+0.099845i,0.047211-0.23352i,0.20847-0.8031i,-0.087874+0.1826i,0.34452-0.26769i,0.13415-0.021078i,-0.065224-0.0042902i,0.19064+0.059623i,-0.055984-0.0089793i
0.017139-0.0017914i,-0.02157-0.00036376i,0.02863+0.0042401i,-0.041319-0.012023i,0.069598+0.031258i,-0.17647-0.11128i,-0.65728-0.56249i,0.15868+0.18884i,-0.22133-0.43817i,0.0021786-0.07889i,-0.021954+0.011485i,0.091295+0.14025i,-0.030889-0.023672i
0.020138-0.032106i,-0.024774+0.035618i,0.032178-0.040699i,-0.045624+0.049049i,0.076211-0.066294i,-0.19545+0.12803i,-0.76755+0.34227i,0.21479-0.059743i,-0.45667+0.10474i,-0.090079+0.041068i,0.022279-0.0271i,-0.052001+0.17207i,0.007746-0.042278i
0.0084129-0.030736i,-0.0089958+0.036371i,0.0096334-0.045171i,-0.010298+0.060816i,0.010834-0.095738i,-0.0099237+0.22978i,0.031855+0.84202i,-0.025137-0.22203i,0.061945+0.4636i,0.0014705+0.099284i,0.0076609-0.031353i,-0.14165+0.095268i,0.025216-0.02227i
-0.0041085-0.0039547i,0.0079873+0.0064094i,-0.014596-0.010332i,0.027248+0.017347i,-0.057217-0.032779i,0.17723+0.089836i,0.80403+0.34401i,-0.24359-0.076747i,0.49547+0.05279i,0.066962-0.03658i,0.0025553+0.032292i,-0.16584-0.06283i,0.038009+0.031661i
-0.011086+0.02672i,0.015656-0.030295i,-0.022905+0.035789i,0.035815-0.045498i,-0.064189+0.067317i,0.16945-0.15281i,0.63635-0.54955i,-0.14464+0.15729i,0.13715-0.42126i,-0.041737-0.13156i,0.042478+0.059332i,-0.12525-0.16939i,0.044808+0.051601i
-0.0065006+0.039391i,0.0066142-0.046203i,-0.0063212+0.056474i,0.0048712-0.073974i,0.00060701+0.11112i,-0.030415-0.24582i,-0.26576-0.77732i,0.12704+0.15401i,-0.41143-0.17043i,-0.11469-0.00043001i,0.038262-0.0087786i,0.0041169-0.1442i,0.0063135+0.012072i
