0.044492+0.053194i,-0.047055-0.056001i,0.050056+0.059841i,-0.05395-0.067568i,0.17103+0.9616i,-0.059047-0.045659i,0.066271+0.04817i,-0.031874-0.19115i,0.073136+0.076682i,-0.085888-0.067939i,0.13129-0.0042394i,-0.068645-0.1532i,0.092548+0.13691i
-0.064208-0.0096201i,0.067191+0.0106i,-0.070476-0.012504i,0.074296+0.01824i,-0.15942-0.91377i,0.078172-0.0070804i,-0.077634+0.0023413i,0.22798+0.0070906i,-0.11382+0.0036883i,0.11599-0.014322i,-0.11312+0.099i,0.14663+0.066595i,-0.15748-0.038904i
0.050384-0.036071i,-0.052876+0.036897i,0.055663-0.036873i,-0.058945+0.033019i,0.11235+0.86313i,-0.064571+0.061024i,0.069542-0.052751i,-0.051217+0.19891i,0.072986-0.085752i,-0.073345+0.093979i,0.025601-0.1631i,-0.14474+0.043522i,0.13846-0.07339i
-0.0096366+0.060916i,0.010397-0.063161i,-0.011301+0.064794i,0.012472-0.062953i,-0.032241-0.83174i,0.015636-0.097796i,-0.021949+0.099742i,-0.11302-0.052003i,0.0022499+0.10345i,-0.0061776-0.11615i,0.08453+0.14981i,0.079942-0.11634i,-0.05741+0.13855i
-0.034709-0.051086i,0.036409+0.053042i,-0.038379-0.054377i,0.040762+0.052249i,-0.057005+0.84275i,0.047105+0.08698i,-0.054227-0.090827i,-0.021598-0.026029i,-0.05281-0.079144i,0.069531+0.087207i,-0.15618-0.07188i,0.0019563+0.13358i,-0.034164-0.13899i
0.055824+0.018009i,-0.058778-0.018071i,0.062172+0.017167i,-0.066282-0.012284i,0.116-0.88534i,-0.075503-0.037699i,0.085605+0.028469i,0.0074786-0.13229i,0.084905+0.043857i,-0.10236-0.035242i,0.16604-0.027731i,-0.070664-0.10669i,0.10013+0.091876i
-0.050769+0.011657i,0.053373-0.013222i,-0.056273+0.015927i,0.059699-0.022798i,-0.13956+0.92047i,0.063242-0.0020062i,-0.063196+0.013121i,0.19274+0.057058i,-0.095934+0.011276i,0.10045-0.026i,-0.11694+0.11311i,0.10942+0.051558i,-0.12438-0.022574i
-0.043889+0.015998i,0.046007-0.015817i,-0.048233+0.014735i,0.050387-0.0098093i,-0.010384-0.8877i,0.055761-0.036397i,-0.053529+0.030377i,0.19379-0.081068i,-0.084712+0.044265i,0.084201-0.054586i,-0.067718+0.13842i,0.124+0.019438i,-0.13055+0.011851i
0.020881-0.038211i,-0.022245+0.039161i,0.023717-0.039287i,-0.02511+0.035629i,-0.046763+0.8586i,-0.032285+0.064256i,0.037156-0.057055i,0.038847+0.18243i,0.02694-0.086784i,-0.025819+0.095132i,-0.032593-0.1564i,-0.10152+0.055657i,0.089987-0.085804i
0.0067975+0.041004i,-0.0069094-0.042647i,0.0071052+0.043671i,-0.0076978-0.041256i,0.11316-0.84794i,-0.0037548-0.075114i,0.00089093+0.078251i,-0.10506+0.020303i,0.023162+0.071199i,-0.030244-0.083017i,0.11348+0.10402i,0.05341-0.094265i,-0.026952+0.11357i
-0.02672-0.027913i,0.028501+0.02894i,-0.030726-0.029252i,0.033974+0.026005i,-0.1742+0.85997i,0.037621+0.057213i,-0.047379-0.057826i,-0.06962-0.018276i,-0.039584-0.049324i,0.057467+0.052872i,-0.14049-0.023755i,-0.0035319+0.10651i,-0.029414-0.10758i
0.033391+0.011066i,-0.035727-0.010685i,0.038561+0.0092847i,-0.042537-0.003872i,0.21448-0.87974i,-0.045699-0.027014i,0.05343+0.015715i,-0.0098506-0.14988i,0.058777+0.03404i,-0.072438-0.022478i,0.12459-0.049123i,-0.048709-0.098152i,0.075859+0.080333i
-0.035098+0.0016183i,0.037219-0.0029133i,-0.039707+0.0052883i,0.043179-0.011677i,-0.24492+0.88971i,0.04139+0.0099858i,-0.040348-0.0016021i,0.18863+0.015994i,-0.074026+0.005389i,0.075442-0.018268i,-0.078378+0.10523i,0.094809+0.060297i,-0.10671-0.030992i
0.036887-0.017784i,-0.038906+0.01989i,0.041352-0.02307i,-0.045007+0.030155i,0.27785-0.90105i,-0.043751+0.0086391i,0.048508-0.011612i,-0.038983+0.16203i,0.051856-0.049027i,-0.051189+0.05783i,0.0076931-0.13125i,-0.11293+0.0014759i,0.10677-0.032226i
-0.026434+0.040669i,0.02766-0.043969i,-0.029285+0.048542i,0.032229-0.057301i,-0.29483+0.92183i,0.029106-0.04204i,-0.03728+0.054455i,-0.10033-0.018416i,-0.013338+0.062967i,0.0096934-0.075641i,0.066547+0.11529i,0.092501-0.065715i,-0.069908+0.088705i
