-0.028998+0.0063591i,0.032245-0.0066668i,-0.036708+0.0069464i,0.043483-0.0070778i,-0.055759+0.0065957i,0.088629-0.0027788i,-0.96475-0.17393i,-0.054189-0.047748i,0.028076+0.082554i,0.084958+0.14844i,-0.052849-0.038317i,0.071444+0.038293i,0.021412+0.086914i
0.001909+0.034002i,-0.0017221-0.037785i,0.0012546+0.042868i,-0.00012611-0.050335i,-0.0029011+0.063253i,0.014242-0.095731i,-0.40516+0.90165i,-0.066883+0.023677i,0.09478+0.027577i,0.15295+0.0028691i,-0.037245+0.038199i,0.038409-0.065535i,0.10693+0.0056844i
0.024245-0.014653i,-0.027505+0.015781i,0.032047-0.017054i,-0.039013+0.018438i,0.051693-0.019672i,-0.085469+0.018846i,0.97059+0.114i,0.053889+0.061657i,-0.012903-0.10428i,-0.022917-0.14112i,0.030038+0.016917i,-0.055749-0.0075222i,-0.055139-0.10625i
-0.017954-0.012279i,0.019848+0.014703i,-0.022249-0.01827i,0.025463+0.024073i,-0.030223-0.035329i,0.039287+0.067287i,-0.17577-0.95126i,0.038315-0.079562i,-0.09143+0.052754i,-0.13511+0.046168i,0.013193-0.018148i,0.0044488+0.038818i,-0.068394+0.10744i
-0.0048173+0.014676i,0.0064858-0.016892i,-0.0090853+0.019898i,0.013571-0.024313i,-0.022794+0.031787i,0.0505-0.049494i,-0.85367+0.44248i,-0.089448-0.0039115i,0.078811+0.062708i,0.076495+0.12941i,-0.016004-0.019918i,0.03008-0.0033645i,0.12914+0.007312i
0.011231+0.0037229i,-0.013634-0.0048502i,0.017051+0.006654i,-0.022352-0.0098676i,0.031964+0.01673i,-0.056835-0.038241i,0.67084+0.6884i,0.028789+0.080812i,0.03114-0.08687i,0.11255-0.11427i,-0.02353+0.026705i,-0.0035374-0.033543i,-0.052189-0.11415i
-0.0088167-0.014796i,0.01032+0.016528i,-0.012576-0.01901i,0.016329+0.023i,-0.02375-0.030804i,0.045025+0.053782i,-0.62757-0.72884i,-0.047285-0.069655i,0.010335+0.081867i,-0.069089+0.16886i,0.038653-0.05932i,-0.051606+0.060236i,-0.088746+0.011434i
-0.0097277+0.0080831i,0.010831-0.0098094i,-0.012414+0.012459i,0.014978-0.016969i,-0.020075+0.0261i,0.035515-0.052967i,-0.50634+0.80981i,-0.055236+0.072266i,0.078148-0.039683i,0.17866+0.029285i,-0.064787-0.029487i,0.06999+0.040887i,0.048823+0.062213i
0.0062194+0.0099703i,-0.0079881-0.010672i,0.010765+0.011576i,-0.015592-0.012883i,0.025572+0.015256i,-0.05556-0.022247i,0.91803+0.24668i,0.09132+0.026556i,-0.0661-0.058099i,-0.012526-0.18674i,-0.018252+0.077724i,0.026564-0.087212i,0.024686-0.060227i
0.013557-0.0087021i,-0.014013+0.010626i,0.014395-0.013584i,-0.01459+0.018635i,0.014312-0.028947i,-0.012533+0.059778i,-0.029472-0.95016i,-0.010689-0.09436i,-0.026896+0.078277i,-0.18849+0.063536i,0.092683-0.0055191i,-0.10536+0.0026109i,-0.048823+0.0034899i
-0.017205-0.014673i,0.019488+0.014748i,-0.022778-0.014464i,0.028065+0.0134i,-0.038305-0.010338i,0.067782-0.00025051i,-0.906+0.30515i,-0.078223+0.044348i,0.072173-0.0031116i,0.12341+0.17274i,-0.043721-0.096298i,0.048092+0.10921i,0.012176+0.030823i
