0.038916-0.037016i,-0.043957+0.040462i,0.051509-0.045264i,-0.064393+0.052804i,0.091964-0.06754i,-0.1916+0.11621i,-0.78185+0.32803i,0.15234-0.029541i,-0.20987+0.019463i,-0.17416+0.052541i,0.07169-0.042571i,-0.18931+0.063046i,0.013629-0.051762i
-0.036508+0.021489i,0.041484-0.019626i,-0.04873+0.01589i,0.060545-0.0079634i,-0.084177-0.011902i,0.16202+0.091472i,0.52644+0.72414i,-0.0456-0.20414i,-0.058462+0.25995i,-0.12191+0.062552i,0.055563+0.036186i,-0.1745-0.068324i,0.0045334+0.058757i
0.032137-0.024693i,-0.037023+0.022977i,0.044205-0.019395i,-0.056007+0.011627i,0.07973+0.008082i,-0.15795-0.087475i,-0.53126-0.72677i,0.047528+0.2066i,0.067943-0.255i,0.14883-0.040223i,-0.070714-0.052602i,0.18243+0.11251i,-0.019509-0.073258i
-0.02824+0.026729i,0.033078-0.025092i,-0.040243+0.021585i,0.052086-0.013881i,-0.075964-0.0057878i,0.15462+0.085155i,0.53527+0.7275i,-0.048664-0.20676i,-0.077398+0.24624i,-0.17193+0.017727i,0.082376+0.067469i,-0.18073-0.15283i,0.029599+0.08535i
0.02478-0.027228i,-0.029602+0.025573i,0.036786-0.02203i,-0.048711+0.014258i,0.072787+0.0055309i,-0.15193-0.085076i,-0.53863-0.72571i,0.049226+0.20394i,0.086401-0.233i,0.19122+0.0036179i,-0.090858-0.079302i,0.17041+0.18632i,-0.035663-0.092447i
-0.021574+0.025964i,0.026393-0.024178i,-0.03361+0.020468i,0.045627-0.012474i,-0.069907-0.0076222i,0.14952+0.087579i,0.54174+0.72101i,-0.04972-0.19772i,-0.094206+0.21493i,-0.20719-0.022852i,0.097024+0.08709i,-0.15339-0.21077i,0.039635+0.092901i
0.018371-0.022911i,-0.023173+0.020879i,0.030405-0.016869i,-0.042489+0.0084979i,0.066933+0.012095i,-0.14696-0.092699i,-0.54513-0.71338i,0.050792+0.18809i,0.099925-0.19218i,0.22055+0.039535i,-0.10202-0.090502i,0.13217+0.22502i,-0.043974-0.086412i
-0.014931+0.018256i,0.01968-0.015879i,-0.02688+0.011453i,0.03897-0.002566i,-0.063496-0.018687i,0.14381+0.10014i,0.54929+0.70316i,-0.053046-0.17547i,-0.10274+0.1654i,-0.232-0.053791i,0.10696+0.089934i,-0.10932-0.22908i,0.050982+0.074124i
0.02988+0.041049i,-0.031433-0.046552i,0.033256+0.054832i,-0.035524-0.06901i,0.038743+0.099407i,-0.045754-0.20922i,0.0026306-0.86105i,-0.037093+0.16692i,0.049805-0.22036i,-0.02907-0.1692i,0.038006+0.065119i,0.030304-0.16069i,0.072131+0.011962i
-0.035848-0.037765i,0.037815+0.043163i,-0.040137-0.051338i,0.043026+0.065412i,-0.047069-0.095712i,0.055341+0.20544i,-0.012056+0.86475i,0.05115-0.17048i,-0.078924+0.2223i,0.014956+0.16145i,-0.039039-0.058625i,-0.045586+0.13758i,-0.088415-0.013024i
0.040493+0.034519i,-0.042794-0.039841i,0.045522+0.047947i,-0.048926-0.061969i,0.053668+0.092246i,-0.06305-0.20201i,0.019412-0.86792i,-0.062871+0.17311i,0.10513-0.22148i,0.001382-0.15125i,0.037151+0.051563i,0.06072-0.1108i,0.097973+0.016644i
-0.043584-0.031079i,0.046122+0.036332i,-0.049146-0.044382i,0.052937+0.058372i,-0.058224-0.088661i,0.068527+0.19852i,-0.024297+0.87102i,0.071775-0.17535i,-0.12769+0.21863i,-0.020116+0.13793i,-0.031876-0.04298i,-0.075685+0.079853i,-0.099517-0.020252i
0.045094+0.027201i,-0.047773-0.032368i,0.050981+0.040346i,-0.055027-0.05429i,0.060703+0.084584i,-0.071736-0.19455i,0.026662-0.87454i,-0.077783+0.1778i,0.14633-0.21452i,0.040874-0.12077i,0.023432+0.031877i,0.089733-0.044295i,0.09324+0.021096i
-0.045195-0.022714i,0.04793+0.02776i,-0.051225-0.035627i,0.055414+0.049484i,-0.061345-0.079743i,0.07294+0.18978i,-0.026797+0.87885i,0.081201-0.18091i,-0.16124+0.2098i,-0.062777+0.099326i,-0.01268-0.01753i,-0.10146+0.0041124i,-0.080747-0.016944i
0.044198+0.017589i,-0.04693-0.022471i,0.050244+0.030181i,-0.054497-0.043899i,0.060587+0.074066i,-0.072621-0.18412i,0.025237-0.88409i,-0.082619+0.18486i,0.17297-0.2048i,0.084588-0.073586i,0.00093498-0.00024894i,0.10908+0.039954i,0.064652+0.0066516i
-0.042482-0.011978i,0.045179+0.016661i,-0.048477-0.024172i,0.052751+0.037707i,-0.058948-0.067734i,0.071354+0.17775i,-0.02262+0.89005i,0.082739-0.18946i,-0.18218+0.19945i,-0.10496+0.044099i,0.010336+0.020978i,-0.11084-0.08627i,-0.047953+0.0095242i
0.040392+0.0062093i,-0.043048-0.010676i,0.046324+0.017972i,-0.050613-0.031305i,0.056907+0.061174i,-0.069662-0.17115i,0.019525-0.89623i,-0.082201+0.19419i,0.1895-0.1933i,0.12268-0.011949i,-0.019843-0.043525i,0.10543+0.13238i,0.033334-0.029947i
-0.038169-0.00073236i,0.040794+0.0049988i,-0.04406-0.012096i,0.048377+0.025248i,-0.054781-0.054988i,0.067893+0.16496i,-0.016331+0.90192i,0.081412-0.19824i,-0.19527+0.1856i,-0.13695-0.02139i,0.026764+0.066288i,-0.092408-0.1753i,-0.022547+0.051954i
0.035893-0.0039592i,-0.038501-0.00015471i,0.041771+0.0071099i,-0.046134-0.020147i,0.052664+0.049838i,-0.066142-0.15992i,0.013132-0.90633i,-0.080453+0.20077i,0.19949-0.17552i,0.14746+0.054285i,-0.030921-0.087489i,0.072372+0.21194i,0.016043-0.072455i
-0.03348+0.0074244i,0.036073-0.003385i,-0.039351-0.003518i,0.043761+0.016547i,-0.050415-0.046317i,0.064241+0.15666i,-0.0097251+0.90873i,0.079068-0.20098i,-0.20177+0.16235i,-0.15446-0.085226i,0.032799+0.10552i,-0.046969-0.23961i,-0.012923+0.088635i
